Scenario,Sensor_Type,Occupancy_Count,Crowd_Density_Level,Detection_Time_sec,Peak_Hazard_Exposure_percent,Evacuation_Time_sec,Success_Rate_percent,Decision_Node,Adaptive_Route_ID,Flow_Pattern_Score,Evacuation_Strategy_Type,Comment,Occupancy_Normalized,Density_Normalized,Hazard_Normalized,Combined_Avg,Route_Status
Electrical Fire,Environmental Sensor,327,0.99,1.88,18.7,478.0,94.49,Edge-Node-3,3,0.501,Leader-Based,Evacuation improving,0.14212416623909696,0.9888888888888889,0.5902777777777778,0.5737636109685879,Dangerous
Electrical Fire,Heat Sensor,859,1.0,5.38,18.5,346.0,101.5,Edge-Node-1,9,0.22,Adaptive,Normal conditions,0.4150846587993843,1.0,0.5839646464646465,0.6663497684213436,Dangerous
Panic Chain Reaction,RFID Log,219,0.51,3.68,12.98,341.0,94.79,Edge-Node-3,9,0.717,Adaptive,High congestion observed,0.08671113391482811,0.45555555555555555,0.40972222222222227,0.31732963723086866,Optimal
Electrical Fire,Smoke Sensor,383,0.2,4.27,16.46,286.0,97.83,Edge-Node-2,9,0.226,Priority-Based,Evacuation improving,0.1708568496664956,0.11111111111111112,0.5195707070707072,0.26717955594943793,Optimal
Tunnel Smoke,Smoke Sensor,765,0.72,4.49,16.2,388.0,95.57,Edge-Node-3,7,0.7,Leader-Based,Potential hazard identified,0.36685479733196513,0.6888888888888889,0.5113636363636364,0.5223691075281635,Congested
Sudden Overcrowding,RFID Log,501,0.87,4.51,8.57,318.0,94.12,Edge-Node-3,8,0.661,Priority-Based,Evacuation improving,0.23140071831708567,0.8555555555555555,0.2705176767676768,0.4524913168801061,Congested
Station Flooding,Environmental Sensor,1629,0.56,4.14,13.45,395.0,98.3,Edge-Node-2,7,0.93,Leader-Based,Evacuation improving,0.8101590559261159,0.5111111111111112,0.42455808080808083,0.5819427492817694,Dangerous
Sudden Overcrowding,WiFi Log,1643,0.68,3.34,25.02,383.0,102.01,Edge-Node-1,6,0.477,Adaptive,Normal conditions,0.8173422267829656,0.6444444444444445,0.7897727272727273,0.7505197995000458,Dangerous
Tunnel Smoke,Smoke Sensor,1425,0.61,4.52,2.67,385.0,98.34,Edge-Node-2,14,0.893,Priority-Based,Potential hazard identified,0.7054899948691636,0.5666666666666667,0.08428030303030304,0.4521456548553778,Congested
Tunnel Smoke,Smoke Sensor,1177,0.5,3.94,19.92,352.0,93.25,Edge-Node-1,11,0.417,Leader-Based,Potential hazard identified,0.5782452539763981,0.4444444444444445,0.6287878787878789,0.5504925257362405,Congested
Electrical Fire,Heat Sensor,1903,0.72,2.72,8.76,394.0,95.29,Edge-Node-3,12,0.646,Adaptive,Evacuation improving,0.9507439712673166,0.6888888888888889,0.27651515151515155,0.6387160038904524,Dangerous
Station Flooding,Smoke Sensor,993,0.39,3.77,10.15,405.0,100.53,Edge-Node-1,15,0.736,Priority-Based,High congestion observed,0.4838378655720882,0.32222222222222224,0.3203914141414142,0.3754838339785749,Optimal
Platform Fire,Environmental Sensor,1158,0.55,6.44,7.13,399.0,97.07,Edge-Node-2,15,0.887,Adaptive,Normal conditions,0.5684966649563878,0.5,0.22506313131313133,0.4311865987565064,Congested
Sudden Overcrowding,CCTV,724,0.99,4.76,15.82,364.0,96.78,Edge-Node-2,11,0.505,Adaptive,High congestion observed,0.3458183683940482,0.9888888888888889,0.4993686868686869,0.6113586480505413,Dangerous
Platform Fire,RFID Log,365,0.69,3.45,16.36,438.0,94.66,Edge-Node-3,19,0.894,Leader-Based,Evacuation improving,0.16162134427911748,0.6555555555555554,0.5164141414141414,0.4445303470829381,Congested
Platform Fire,Smoke Sensor,1322,0.33,5.7,15.17,372.0,95.42,Edge-Node-3,6,0.839,Priority-Based,Sensor alert triggered,0.6526423807080554,0.2555555555555556,0.4788510101010101,0.46234964878820706,Congested
Platform Fire,CCTV,1833,0.53,3.81,9.95,342.0,95.69,Edge-Node-2,12,0.255,Leader-Based,Sensor alert triggered,0.9148281169830682,0.4777777777777778,0.3140782828282828,0.5688947258630429,Dangerous
Panic Chain Reaction,Smoke Sensor,1036,0.9,4.38,15.05,357.0,97.38,Edge-Node-1,19,0.311,Priority-Based,Normal conditions,0.5059004617752694,0.8888888888888888,0.4750631313131314,0.6232841606590965,Dangerous
Platform Fire,RFID Log,150,0.11,3.72,16.58,342.0,94.07,Edge-Node-1,16,0.319,Leader-Based,Evacuation improving,0.051308363263211906,0.011111111111111113,0.5233585858585859,0.19525935341096964,Optimal
Electrical Fire,RFID Log,1723,0.31,4.47,17.66,343.0,97.45,Edge-Node-2,17,0.67,Priority-Based,Evacuation improving,0.8583889173935351,0.23333333333333334,0.557449494949495,0.5497239152254545,Congested
Platform Fire,WiFi Log,1079,0.82,3.41,12.95,343.0,94.58,Edge-Node-3,3,0.3,Priority-Based,Crowd flow unstable,0.5279630579784504,0.7999999999999999,0.40877525252525254,0.578912770167901,Dangerous
Tunnel Smoke,CCTV,1970,0.49,6.7,21.28,353.0,93.8,Edge-Node-1,4,0.242,Leader-Based,Crowd flow unstable,0.9851205746536685,0.4333333333333334,0.6717171717171718,0.6967236932347246,Dangerous
Sudden Overcrowding,RFID Log,1098,0.5,4.34,20.79,284.0,97.17,Edge-Node-2,3,0.213,Priority-Based,Sensor alert triggered,0.5377116469984607,0.4444444444444445,0.65625,0.5461353638143017,Congested
Station Flooding,Environmental Sensor,1740,0.35,2.54,8.75,342.0,98.61,Edge-Node-3,16,0.787,Priority-Based,Sensor alert triggered,0.8671113391482811,0.2777777777777778,0.276199494949495,0.47369620395851797,Congested
Panic Chain Reaction,Environmental Sensor,842,0.59,4.57,19.66,372.0,95.39,Edge-Node-2,15,0.526,Adaptive,Sensor alert triggered,0.40636223704463825,0.5444444444444444,0.6205808080808082,0.5237958298566303,Congested
Sudden Overcrowding,CCTV,1648,0.45,2.78,10.63,391.0,98.92,Edge-Node-2,4,0.28,Leader-Based,Sensor alert triggered,0.8199076449461262,0.3888888888888889,0.33554292929292934,0.5147798210426481,Congested
Platform Fire,WiFi Log,1045,1.0,2.86,13.82,361.0,95.7,Edge-Node-1,18,0.862,Leader-Based,Potential hazard identified,0.5105182144689584,1.0,0.43623737373737376,0.6489185294021107,Dangerous
Tunnel Smoke,Heat Sensor,493,0.12,4.22,23.56,330.0,98.07,Edge-Node-2,17,0.394,Adaptive,High congestion observed,0.22729604925602873,0.022222222222222213,0.7436868686868687,0.33106838005503986,Optimal
Electrical Fire,RFID Log,1159,0.57,3.94,16.65,348.0,98.69,Edge-Node-1,17,0.417,Adaptive,Potential hazard identified,0.56900974858902,0.5222222222222221,0.5255681818181818,0.538933384209808,Congested
Electrical Fire,Environmental Sensor,591,0.42,3.56,15.82,354.0,94.9,Edge-Node-3,7,0.885,Priority-Based,Evacuation improving,0.2775782452539764,0.35555555555555557,0.4993686868686869,0.3775008292260729,Optimal
Station Flooding,CCTV,617,0.42,4.94,17.72,300.0,97.75,Edge-Node-2,1,0.237,Adaptive,Potential hazard identified,0.2909184197024115,0.35555555555555557,0.5593434343434344,0.4019391365338005,Optimal
Sudden Overcrowding,WiFi Log,1539,0.8,1.49,21.57,331.0,95.74,Edge-Node-2,12,0.4,Leader-Based,Normal conditions,0.7639815289892252,0.7777777777777778,0.6808712121212122,0.7408768396294051,Dangerous
Tunnel Smoke,WiFi Log,459,0.17,3.18,16.49,357.0,94.98,Edge-Node-3,2,0.43,Adaptive,High congestion observed,0.20985120574653665,0.07777777777777779,0.5205176767676768,0.2693822200973304,Optimal
Tunnel Smoke,Heat Sensor,386,0.27,3.79,8.94,374.0,95.48,Edge-Node-2,5,0.42,Adaptive,Sensor alert triggered,0.17239610056439197,0.18888888888888894,0.2821969696969697,0.21449398638341688,Optimal
Sudden Overcrowding,Environmental Sensor,1296,0.66,4.08,11.56,408.0,97.44,Edge-Node-1,2,0.892,Leader-Based,Normal conditions,0.6393022062596203,0.6222222222222222,0.36489898989898994,0.5421411394602775,Congested
Electrical Fire,CCTV,1538,0.25,3.55,23.18,321.0,97.68,Edge-Node-2,10,0.418,Adaptive,Normal conditions,0.7634684453565931,0.16666666666666669,0.7316919191919192,0.553942343738393,Dangerous
Tunnel Smoke,CCTV,1129,0.45,5.76,24.03,385.0,93.87,Edge-Node-2,17,0.463,Adaptive,Evacuation improving,0.5536172396100564,0.3888888888888889,0.7585227272727274,0.5670096185905575,Dangerous
Platform Fire,Environmental Sensor,1094,0.94,3.33,14.83,347.0,97.63,Edge-Node-1,7,0.25,Adaptive,High congestion observed,0.5356593124679323,0.9333333333333333,0.4681186868686869,0.6457037775566509,Dangerous
Electrical Fire,CCTV,522,0.44,1.88,15.56,367.0,96.21,Edge-Node-2,10,0.564,Adaptive,Evacuation improving,0.24217547460236014,0.3777777777777778,0.4911616161616162,0.3703716228472514,Optimal
Electrical Fire,CCTV,207,0.34,4.6,18.84,357.0,98.12,Edge-Node-2,7,0.462,Priority-Based,Sensor alert triggered,0.08055413032324268,0.2666666666666667,0.5946969696969697,0.31397258889562635,Optimal
Platform Fire,Heat Sensor,982,0.96,3.16,15.07,397.0,95.35,Edge-Node-3,10,0.903,Leader-Based,Crowd flow unstable,0.4781939456131349,0.9555555555555555,0.4756944444444445,0.6364813152043782,Dangerous
Station Flooding,CCTV,879,0.62,2.81,8.41,341.0,96.98,Edge-Node-3,16,0.549,Adaptive,Evacuation improving,0.42534633145202666,0.5777777777777777,0.2654671717171717,0.4228637603156587,Congested
Sudden Overcrowding,Heat Sensor,1894,0.4,4.82,22.43,399.0,96.64,Edge-Node-2,12,0.258,Priority-Based,High congestion observed,0.9461262185736274,0.33333333333333337,0.7080176767676768,0.6624924095582125,Dangerous
Platform Fire,WiFi Log,211,0.72,5.37,17.79,393.0,98.92,Edge-Node-2,10,0.793,Priority-Based,High congestion observed,0.08260646485377117,0.6888888888888889,0.5615530303030303,0.44434946134856346,Congested
Panic Chain Reaction,Smoke Sensor,1708,0.93,5.16,17.35,349.0,93.87,Edge-Node-1,14,0.449,Leader-Based,Evacuation improving,0.8506926629040533,0.9222222222222223,0.5476641414141415,0.7735263421801389,Dangerous
Platform Fire,Heat Sensor,1081,0.25,2.14,5.55,321.0,94.69,Edge-Node-3,2,0.251,Priority-Based,Normal conditions,0.5289892252437147,0.16666666666666669,0.17518939393939395,0.2902817619499251,Optimal
Station Flooding,RFID Log,894,0.94,3.56,9.42,394.0,97.08,Edge-Node-1,10,0.389,Leader-Based,High congestion observed,0.43304258594150846,0.9333333333333333,0.29734848484848486,0.5545748013744422,Dangerous
Station Flooding,Heat Sensor,1790,0.18,5.23,23.28,372.0,98.83,Edge-Node-2,17,0.441,Adaptive,Potential hazard identified,0.8927655207798871,0.08888888888888889,0.734848484848485,0.5721676315057537,Dangerous
Tunnel Smoke,Environmental Sensor,804,0.4,5.42,19.81,308.0,100.67,Edge-Node-3,16,0.264,Leader-Based,Crowd flow unstable,0.38686505900461776,0.33333333333333337,0.6253156565656566,0.4485046829678692,Congested
Station Flooding,Smoke Sensor,1966,0.39,2.4,6.16,378.0,92.86,Edge-Node-2,18,0.777,Adaptive,Normal conditions,0.98306824012314,0.32222222222222224,0.19444444444444448,0.49991163559660223,Congested
Tunnel Smoke,Heat Sensor,384,0.66,2.54,12.67,335.0,94.49,Edge-Node-2,14,0.702,Adaptive,Normal conditions,0.17136993329912772,0.6222222222222222,0.39993686868686873,0.39784300806940626,Optimal
Electrical Fire,Environmental Sensor,1687,0.98,3.79,7.77,396.0,94.98,Edge-Node-1,7,0.4,Adaptive,Potential hazard identified,0.8399179066187789,0.9777777777777779,0.24526515151515152,0.6876536119705694,Dangerous
Platform Fire,RFID Log,724,0.98,3.98,14.33,324.0,98.08,Edge-Node-2,10,0.731,Adaptive,Crowd flow unstable,0.3458183683940482,0.9777777777777779,0.4523358585858586,0.5919773349192282,Dangerous
Panic Chain Reaction,CCTV,1835,0.99,3.11,20.19,341.0,98.31,Edge-Node-1,4,0.559,Leader-Based,Evacuation improving,0.9158542842483325,0.9888888888888889,0.6373106060606062,0.847351259732609,Dangerous
Station Flooding,Environmental Sensor,853,0.45,3.63,22.19,372.0,99.7,Edge-Node-1,17,0.769,Adaptive,Sensor alert triggered,0.41200615700359156,0.3888888888888889,0.7004419191919192,0.5004456550281332,Congested
Station Flooding,Heat Sensor,876,0.94,4.43,15.33,415.0,96.48,Edge-Node-3,14,0.822,Leader-Based,High congestion observed,0.4238070805541303,0.9333333333333333,0.4839015151515152,0.613680643012993,Dangerous
Sudden Overcrowding,WiFi Log,476,0.27,5.75,16.35,356.0,96.56,Edge-Node-2,4,0.336,Leader-Based,Potential hazard identified,0.21857362750128267,0.18888888888888894,0.516098484848485,0.3078536670795522,Optimal
Electrical Fire,Heat Sensor,536,0.39,3.45,5.88,408.0,98.28,Edge-Node-3,1,0.535,Leader-Based,Evacuation improving,0.24935864545920985,0.32222222222222224,0.1856060606060606,0.2523956427624976,Optimal
Electrical Fire,Smoke Sensor,451,0.98,4.82,26.7,239.0,95.39,Edge-Node-3,18,0.573,Leader-Based,Evacuation improving,0.2057465366854797,0.9777777777777779,0.8428030303030304,0.6754424482554292,Dangerous
Station Flooding,Smoke Sensor,279,0.62,4.48,16.12,389.0,100.61,Edge-Node-1,17,0.8,Adaptive,Normal conditions,0.11749615187275526,0.5777777777777777,0.5088383838383839,0.4013707711629723,Optimal
Electrical Fire,RFID Log,396,0.48,4.66,13.54,369.0,96.11,Edge-Node-1,8,0.556,Priority-Based,High congestion observed,0.17752693689071317,0.4222222222222222,0.4273989898989899,0.3423827163373084,Optimal
Panic Chain Reaction,Heat Sensor,362,0.16,3.39,6.8,380.0,99.13,Edge-Node-1,2,0.538,Priority-Based,Crowd flow unstable,0.16008209338122112,0.06666666666666667,0.21464646464646464,0.14713174156478415,Optimal
Tunnel Smoke,Smoke Sensor,431,0.36,3.66,6.93,324.0,96.8,Edge-Node-1,14,0.511,Priority-Based,Sensor alert triggered,0.19548486403283732,0.2888888888888889,0.21875,0.2343745843072421,Optimal
Panic Chain Reaction,Environmental Sensor,1733,0.93,3.75,13.99,357.0,98.3,Edge-Node-1,11,0.555,Adaptive,High congestion observed,0.8635197537198563,0.9222222222222223,0.4416035353535354,0.7424485037652047,Dangerous
Sudden Overcrowding,Smoke Sensor,907,0.94,4.25,20.3,366.0,99.33,Edge-Node-1,10,0.805,Priority-Based,High congestion observed,0.439712673165726,0.9333333333333333,0.6407828282828284,0.6712762782606293,Dangerous
Electrical Fire,Heat Sensor,903,0.6,2.82,8.04,325.0,97.66,Edge-Node-3,19,0.865,Adaptive,Normal conditions,0.43766033863519754,0.5555555555555555,0.2537878787878788,0.4156679243262105,Optimal
Sudden Overcrowding,Heat Sensor,750,0.65,5.26,20.32,263.0,99.09,Edge-Node-2,5,0.894,Adaptive,Sensor alert triggered,0.35915854284248333,0.6111111111111112,0.6414141414141414,0.5372279317892453,Congested
Sudden Overcrowding,RFID Log,1981,0.77,3.43,13.26,405.0,93.85,Edge-Node-1,6,0.673,Leader-Based,High congestion observed,0.9907644946126218,0.7444444444444445,0.4185606060606061,0.7179231817058908,Dangerous
Sudden Overcrowding,WiFi Log,1739,0.76,1.38,13.69,382.0,97.65,Edge-Node-2,11,0.542,Adaptive,High congestion observed,0.8665982555156491,0.7333333333333333,0.4321338383838384,0.6773551424109402,Dangerous
Panic Chain Reaction,CCTV,1419,0.86,3.77,9.37,361.0,95.51,Edge-Node-2,14,0.611,Leader-Based,Sensor alert triggered,0.7024114930733709,0.8444444444444444,0.295770202020202,0.6142087131793391,Dangerous
Station Flooding,WiFi Log,1614,0.26,3.83,10.38,372.0,98.12,Edge-Node-3,19,0.221,Leader-Based,Evacuation improving,0.8024628014366342,0.1777777777777778,0.3276515151515152,0.43596403145530904,Congested
Tunnel Smoke,Environmental Sensor,1149,0.36,3.87,11.62,418.0,96.65,Edge-Node-1,2,0.441,Adaptive,High congestion observed,0.5638789122626988,0.2888888888888889,0.3667929292929293,0.40652024348150567,Optimal
Panic Chain Reaction,Environmental Sensor,392,0.37,4.21,12.6,370.0,98.16,Edge-Node-2,4,0.422,Adaptive,Crowd flow unstable,0.1754746023601847,0.30000000000000004,0.39772727272727276,0.2910672916958192,Optimal
Platform Fire,RFID Log,1548,0.65,4.35,15.3,292.0,99.14,Edge-Node-3,1,0.527,Priority-Based,Potential hazard identified,0.7685992816829142,0.6111111111111112,0.4829545454545455,0.6208883127495236,Dangerous
Electrical Fire,Environmental Sensor,1929,0.24,4.62,7.21,355.0,99.41,Edge-Node-1,8,0.345,Leader-Based,Evacuation improving,0.9640841457157516,0.15555555555555556,0.22758838383838384,0.44907602836989696,Congested
Electrical Fire,Environmental Sensor,544,0.35,2.79,17.83,401.0,98.87,Edge-Node-1,8,0.432,Priority-Based,High congestion observed,0.2534633145202668,0.2777777777777778,0.5628156565656566,0.36468558295456704,Optimal
Electrical Fire,CCTV,1740,0.44,5.21,7.18,343.0,94.61,Edge-Node-3,5,0.88,Priority-Based,Crowd flow unstable,0.8671113391482811,0.3777777777777778,0.22664141414141414,0.49051017702249106,Congested
Station Flooding,Heat Sensor,168,0.87,3.78,15.93,412.0,97.08,Edge-Node-3,16,0.541,Leader-Based,Evacuation improving,0.06054386865059004,0.8555555555555555,0.5028409090909091,0.47298011109901816,Congested
Tunnel Smoke,CCTV,1914,0.39,2.43,10.88,379.0,94.06,Edge-Node-3,19,0.451,Priority-Based,Potential hazard identified,0.9563878912262699,0.32222222222222224,0.3434343434343435,0.5406814856276119,Congested
Platform Fire,Smoke Sensor,1470,0.29,4.63,23.71,392.0,96.59,Edge-Node-3,15,0.562,Priority-Based,Crowd flow unstable,0.728578758337609,0.21111111111111108,0.7484217171717172,0.5627038622068125,Dangerous
Panic Chain Reaction,RFID Log,1927,0.91,3.14,16.94,344.0,97.66,Edge-Node-2,17,0.849,Priority-Based,Evacuation improving,0.9630579784504874,0.9000000000000001,0.5347222222222223,0.7992600668909032,Dangerous
Sudden Overcrowding,Smoke Sensor,551,0.29,2.84,12.77,399.0,97.04,Edge-Node-3,7,0.499,Leader-Based,Evacuation improving,0.25705489994869163,0.21111111111111108,0.40309343434343436,0.29041981513441234,Optimal
Station Flooding,WiFi Log,814,0.88,4.34,16.6,358.0,94.92,Edge-Node-1,11,0.43,Leader-Based,High congestion observed,0.3919958953309389,0.8666666666666667,0.5239898989898991,0.5942174869958349,Dangerous
Sudden Overcrowding,Smoke Sensor,1758,0.82,2.49,3.99,344.0,95.54,Edge-Node-3,18,0.741,Adaptive,Crowd flow unstable,0.8763468445356593,0.7999999999999999,0.12594696969696972,0.6007646047442097,Dangerous
Electrical Fire,Environmental Sensor,1528,0.12,2.6,25.94,375.0,94.54,Edge-Node-1,5,0.719,Adaptive,Potential hazard identified,0.7583376090302719,0.022222222222222213,0.8188131313131314,0.5331243208552086,Congested
Platform Fire,RFID Log,1164,0.46,3.61,14.18,364.0,94.64,Edge-Node-1,17,0.685,Adaptive,Sensor alert triggered,0.5715751667521806,0.4000000000000001,0.4476010101010101,0.47305872561773027,Congested
Station Flooding,CCTV,1492,0.71,2.54,14.13,390.0,99.53,Edge-Node-3,11,0.217,Adaptive,Potential hazard identified,0.7398665982555156,0.6777777777777777,0.44602272727272735,0.6212223677686736,Dangerous
Sudden Overcrowding,RFID Log,1914,0.81,2.55,8.45,406.0,95.99,Edge-Node-1,16,0.862,Leader-Based,High congestion observed,0.9563878912262699,0.788888888888889,0.26672979797979796,0.6706688593649855,Dangerous
Panic Chain Reaction,WiFi Log,1234,0.39,3.8,13.23,309.0,96.44,Edge-Node-2,17,0.714,Adaptive,Normal conditions,0.6074910210364289,0.32222222222222224,0.4176136363636364,0.4491089598740959,Congested
Sudden Overcrowding,WiFi Log,767,0.88,4.32,13.92,295.0,97.75,Edge-Node-1,1,0.529,Priority-Based,Sensor alert triggered,0.36788096459722935,0.8666666666666667,0.4393939393939394,0.5579805235526119,Dangerous
Station Flooding,Environmental Sensor,891,0.15,6.02,20.7,415.0,95.34,Edge-Node-2,5,0.37,Priority-Based,Evacuation improving,0.4315033350436121,0.05555555555555554,0.6534090909090909,0.38015599383608617,Optimal
Tunnel Smoke,Heat Sensor,217,0.97,4.48,11.45,346.0,97.5,Edge-Node-3,9,0.777,Leader-Based,Normal conditions,0.08568496664956388,0.9666666666666666,0.3614267676767677,0.471259466997666,Congested
Platform Fire,Environmental Sensor,1523,0.54,5.48,13.08,429.0,96.99,Edge-Node-1,14,0.795,Priority-Based,Crowd flow unstable,0.7557721908671113,0.488888888888889,0.4128787878787879,0.552513289211596,Dangerous
Panic Chain Reaction,Environmental Sensor,831,0.71,2.76,21.92,380.0,95.16,Edge-Node-2,17,0.469,Priority-Based,Normal conditions,0.40071831708568495,0.6777777777777777,0.691919191919192,0.5901384289275516,Dangerous
Platform Fire,CCTV,448,0.39,5.11,18.43,378.0,94.45,Edge-Node-3,1,0.229,Leader-Based,Potential hazard identified,0.20420728578758335,0.32222222222222224,0.5817550505050505,0.3693948528382854,Optimal
Panic Chain Reaction,RFID Log,276,0.21,2.92,4.41,359.0,96.29,Edge-Node-3,1,0.665,Adaptive,Evacuation improving,0.1159569009748589,0.12222222222222222,0.13920454545454547,0.12579455621720886,Optimal
Electrical Fire,Heat Sensor,1222,0.78,6.04,11.23,346.0,95.88,Edge-Node-3,14,0.396,Priority-Based,Normal conditions,0.6013340174448435,0.7555555555555555,0.35448232323232326,0.5704572987442408,Dangerous
Electrical Fire,Heat Sensor,1163,0.43,4.25,21.26,452.0,96.81,Edge-Node-2,17,0.342,Priority-Based,Normal conditions,0.5710620831195484,0.3666666666666667,0.6710858585858587,0.5362715361240246,Congested
Sudden Overcrowding,RFID Log,1400,0.75,3.55,6.08,386.0,98.53,Edge-Node-3,6,0.289,Priority-Based,Sensor alert triggered,0.6926629040533607,0.7222222222222222,0.19191919191919193,0.5356014393982583,Congested
Electrical Fire,CCTV,1179,0.51,4.3,8.95,281.0,96.82,Edge-Node-1,16,0.34,Priority-Based,Evacuation improving,0.5792714212416624,0.45555555555555555,0.28251262626262624,0.4391132010199481,Congested
Platform Fire,RFID Log,283,0.44,6.25,12.78,391.0,95.2,Edge-Node-3,16,0.371,Priority-Based,Normal conditions,0.11954848640328374,0.3777777777777778,0.40340909090909094,0.30024511836338413,Optimal
Panic Chain Reaction,WiFi Log,1161,0.55,5.35,13.34,386.0,96.84,Edge-Node-1,1,0.473,Adaptive,Crowd flow unstable,0.5700359158542843,0.5,0.4210858585858586,0.4970405914800476,Congested
Electrical Fire,Heat Sensor,633,0.19,5.0,14.54,324.0,92.48,Edge-Node-1,4,0.543,Adaptive,Crowd flow unstable,0.2991277578245254,0.09999999999999999,0.45896464646464646,0.2860308014297239,Optimal
Tunnel Smoke,Environmental Sensor,816,0.5,2.0,21.2,329.0,95.64,Edge-Node-1,13,0.376,Leader-Based,Evacuation improving,0.3930220625962032,0.4444444444444445,0.6691919191919192,0.5022194754108557,Congested
Station Flooding,CCTV,515,0.47,2.6,21.0,383.0,96.17,Edge-Node-3,3,0.775,Adaptive,Crowd flow unstable,0.23858388917393533,0.41111111111111115,0.662878787878788,0.43752459605461147,Congested
Electrical Fire,RFID Log,1774,0.88,3.39,8.93,383.0,96.7,Edge-Node-1,11,0.334,Priority-Based,Normal conditions,0.8845561826577731,0.8666666666666667,0.28188131313131315,0.677701387485251,Dangerous
Tunnel Smoke,Environmental Sensor,1856,0.38,5.49,22.92,340.0,95.15,Edge-Node-3,8,0.582,Priority-Based,Normal conditions,0.926629040533607,0.3111111111111111,0.7234848484848486,0.6537416667098556,Dangerous
Tunnel Smoke,CCTV,135,0.72,5.64,21.95,391.0,100.71,Edge-Node-1,10,0.311,Priority-Based,Crowd flow unstable,0.04361210877373012,0.6888888888888889,0.6928661616161617,0.4751223864262602,Congested
Platform Fire,Environmental Sensor,1975,0.77,5.07,12.73,380.0,98.47,Edge-Node-3,10,0.533,Priority-Based,Crowd flow unstable,0.987685992816829,0.7444444444444445,0.4018308080808081,0.7113204151140272,Dangerous
Station Flooding,Smoke Sensor,1232,0.55,4.99,3.05,330.0,95.96,Edge-Node-1,18,0.614,Adaptive,Normal conditions,0.6064648537711647,0.5,0.09627525252525253,0.40091336876547246,Optimal
Tunnel Smoke,RFID Log,774,0.82,3.37,16.04,299.0,99.75,Edge-Node-1,14,0.36,Priority-Based,Normal conditions,0.37147255002565416,0.7999999999999999,0.5063131313131313,0.5592618937795951,Dangerous
Station Flooding,RFID Log,356,0.59,4.7,11.7,414.0,98.63,Edge-Node-1,8,0.337,Adaptive,Potential hazard identified,0.1570035915854284,0.5444444444444444,0.3693181818181818,0.3569220726160182,Optimal
Panic Chain Reaction,Smoke Sensor,1123,0.15,3.45,2.63,362.0,98.09,Edge-Node-2,11,0.207,Adaptive,Evacuation improving,0.5505387378142638,0.05555555555555554,0.08301767676767677,0.22970399004583206,Optimal
Station Flooding,Environmental Sensor,580,0.21,4.71,9.22,344.0,95.74,Edge-Node-2,1,0.281,Adaptive,Sensor alert triggered,0.2719343252950231,0.12222222222222222,0.2910353535353536,0.22839730035086628,Optimal
Sudden Overcrowding,Smoke Sensor,1240,0.97,1.85,12.25,322.0,94.69,Edge-Node-2,7,0.379,Adaptive,Sensor alert triggered,0.6105695228322217,0.9666666666666666,0.38667929292929293,0.654638494142727,Dangerous
