route,hour,day_of_week,is_weekend,temperature,is_raining,nearby_event,prev_passenger_count,passenger_count,vehicle_capacity,data_source,route_avg_demand,is_peak_hour,utilisation,day_name
Route 2 - Airport Link,8,1,0,17.9,0,0,55,63,100,SYNTHETIC,38.4,1,0.63,Tuesday
Route 7 - Hospital Line,8,3,0,24.8,0,0,66,58,100,SYNTHETIC,37.7,1,0.58,Thursday
Route 8 - Beach/Leisure,13,1,0,18.8,0,0,14,11,100,SYNTHETIC,27.1,0,0.11,Tuesday
Route 9 - East Corridor,9,4,0,16.5,0,0,64,47,100,SYNTHETIC,35.6,1,0.47,Friday
Route 4 - North Suburbs,17,3,0,35.2,0,0,23,43,100,SYNTHETIC,30.0,1,0.43,Thursday
Route 9 - East Corridor,13,4,0,1.4,0,0,25,20,100,SYNTHETIC,35.6,0,0.2,Friday
Route 5 - South Connector,19,3,0,5.0,0,0,39,30,100,SYNTHETIC,24.6,1,0.3,Thursday
Route 4 - North Suburbs,17,2,0,23.1,0,0,24,51,100,SYNTHETIC,30.0,1,0.51,Wednesday
Route 2 - Airport Link,10,1,0,17.9,0,0,51,28,100,SYNTHETIC,38.4,0,0.28,Tuesday
Route 4 - North Suburbs,19,1,0,8.5,0,0,63,38,100,SYNTHETIC,30.0,1,0.38,Tuesday
Route 10 - West Ring,18,3,0,11.6,0,0,43,51,100,SYNTHETIC,26.9,1,0.51,Thursday
Route 8 - Beach/Leisure,12,3,0,12.6,0,0,10,14,100,SYNTHETIC,27.1,0,0.14,Thursday
Route 8 - Beach/Leisure,10,4,0,27.1,0,0,25,12,100,SYNTHETIC,27.1,0,0.12,Friday
Route 9 - East Corridor,17,0,0,29.7,0,0,29,63,100,SYNTHETIC,35.6,1,0.63,Monday
Route 3 - University Shuttle,8,1,0,33.1,0,1,113,124,100,SYNTHETIC,37.7,1,1.24,Tuesday
Route 7 - Hospital Line,8,5,1,7.3,1,1,64,68,100,SYNTHETIC,37.7,1,0.68,Saturday
Route 4 - North Suburbs,2,6,1,9.1,0,1,0,0,100,SYNTHETIC,30.0,0,0.0,Sunday
Route 9 - East Corridor,18,6,1,8.5,0,0,28,25,100,SYNTHETIC,35.6,1,0.25,Sunday
Route 5 - South Connector,17,2,0,30.3,0,0,24,40,100,SYNTHETIC,24.6,1,0.4,Wednesday
Route 9 - East Corridor,17,0,0,23.3,0,0,27,42,100,SYNTHETIC,35.6,1,0.42,Monday
Route 8 - Beach/Leisure,18,1,0,20.6,0,0,44,49,100,SYNTHETIC,27.1,1,0.49,Tuesday
Route 8 - Beach/Leisure,13,0,0,21.8,1,0,18,18,100,SYNTHETIC,27.1,0,0.18,Monday
Route 10 - West Ring,15,6,1,19.5,0,0,6,14,100,SYNTHETIC,26.9,0,0.14,Sunday
Route 8 - Beach/Leisure,8,6,1,11.0,0,0,39,49,100,SYNTHETIC,27.1,1,0.49,Sunday
Route 4 - North Suburbs,7,5,1,24.1,1,0,8,30,100,SYNTHETIC,30.0,1,0.3,Saturday
Route 6 - Industrial Park,17,5,1,18.5,0,0,7,12,100,SYNTHETIC,45.9,1,0.12,Saturday
Route 5 - South Connector,13,2,0,10.4,0,1,30,33,100,SYNTHETIC,24.6,0,0.33,Wednesday
Route 1 - City Centre Express,15,3,0,24.6,1,0,27,32,100,SYNTHETIC,55.2,0,0.32,Thursday
Route 6 - Industrial Park,18,5,1,16.6,0,0,12,8,100,SYNTHETIC,45.9,1,0.08,Saturday
Route 5 - South Connector,16,5,1,21.8,1,0,6,19,100,SYNTHETIC,24.6,0,0.19,Saturday
Route 4 - North Suburbs,15,3,0,19.0,0,0,19,23,100,SYNTHETIC,30.0,0,0.23,Thursday
Route 2 - Airport Link,15,5,1,27.1,0,0,23,18,100,SYNTHETIC,38.4,0,0.18,Saturday
Route 6 - Industrial Park,10,2,0,21.8,0,0,71,23,100,SYNTHETIC,45.9,0,0.23,Wednesday
Route 6 - Industrial Park,6,2,0,12.9,0,1,9,24,100,SYNTHETIC,45.9,0,0.24,Wednesday
Route 2 - Airport Link,13,5,1,22.6,0,1,34,33,100,SYNTHETIC,38.4,0,0.33,Saturday
Route 7 - Hospital Line,9,2,0,22.8,0,1,93,65,100,SYNTHETIC,37.7,1,0.65,Wednesday
Route 2 - Airport Link,12,5,1,24.1,1,0,28,35,100,SYNTHETIC,38.4,0,0.35,Saturday
Route 2 - Airport Link,19,3,0,28.3,0,0,59,56,100,SYNTHETIC,38.4,1,0.56,Thursday
Route 5 - South Connector,9,2,0,15.1,0,0,38,31,100,SYNTHETIC,24.6,1,0.31,Wednesday
Route 4 - North Suburbs,7,1,0,25.3,0,0,14,49,100,SYNTHETIC,30.0,1,0.49,Tuesday
Route 10 - West Ring,10,4,0,6.2,0,0,39,19,100,SYNTHETIC,26.9,0,0.19,Friday
Route 1 - City Centre Express,10,3,0,19.0,1,0,83,31,100,SYNTHETIC,55.2,0,0.31,Thursday
Route 4 - North Suburbs,17,2,0,17.8,0,0,21,41,100,SYNTHETIC,30.0,1,0.41,Wednesday
Route 8 - Beach/Leisure,15,5,1,31.6,1,0,23,16,100,SYNTHETIC,27.1,0,0.16,Saturday
Route 3 - University Shuttle,18,0,0,18.7,0,0,78,79,100,SYNTHETIC,37.7,1,0.79,Monday
Route 10 - West Ring,17,0,0,24.9,0,0,23,49,100,SYNTHETIC,26.9,1,0.49,Monday
Route 8 - Beach/Leisure,12,6,1,5.9,0,0,25,23,100,SYNTHETIC,27.1,0,0.23,Sunday
Route 10 - West Ring,18,4,0,17.2,1,0,49,56,100,SYNTHETIC,26.9,1,0.56,Friday
Route 10 - West Ring,8,3,0,13.2,0,0,51,54,100,SYNTHETIC,26.9,1,0.54,Thursday
Route 2 - Airport Link,6,0,0,39.8,0,1,7,23,100,SYNTHETIC,38.4,0,0.23,Monday
Route 5 - South Connector,7,4,0,14.7,0,0,10,38,100,SYNTHETIC,24.6,1,0.38,Friday
Route 8 - Beach/Leisure,17,3,0,20.6,0,0,21,44,100,SYNTHETIC,27.1,1,0.44,Thursday
Route 1 - City Centre Express,13,4,0,21.0,0,0,41,33,100,SYNTHETIC,55.2,0,0.33,Friday
Route 5 - South Connector,8,0,0,7.3,0,0,40,42,100,SYNTHETIC,24.6,1,0.42,Monday
Route 7 - Hospital Line,14,3,0,15.8,0,0,25,18,100,SYNTHETIC,37.7,0,0.18,Thursday
Route 8 - Beach/Leisure,8,4,0,23.2,0,0,21,31,100,SYNTHETIC,27.1,1,0.31,Friday
Route 5 - South Connector,17,2,0,20.7,1,0,21,42,100,SYNTHETIC,24.6,1,0.42,Wednesday
Route 9 - East Corridor,13,0,0,1.6,0,0,16,20,100,SYNTHETIC,35.6,0,0.2,Monday
Route 7 - Hospital Line,12,6,1,15.5,0,0,18,17,100,SYNTHETIC,37.7,0,0.17,Sunday
Route 1 - City Centre Express,10,4,0,28.2,1,0,76,28,100,SYNTHETIC,55.2,0,0.28,Friday
Route 3 - University Shuttle,16,4,0,24.7,0,0,23,29,100,SYNTHETIC,37.7,0,0.29,Friday
Route 10 - West Ring,11,5,1,29.7,1,0,13,12,100,SYNTHETIC,26.9,0,0.12,Saturday
Route 1 - City Centre Express,7,4,0,12.1,0,0,16,80,100,SYNTHETIC,55.2,1,0.8,Friday
Route 2 - Airport Link,7,0,0,30.2,1,1,27,95,100,SYNTHETIC,38.4,1,0.95,Monday
Route 4 - North Suburbs,21,3,0,19.6,0,1,29,20,100,SYNTHETIC,30.0,0,0.2,Thursday
Route 10 - West Ring,20,6,1,32.7,0,0,16,5,100,SYNTHETIC,26.9,0,0.05,Sunday
Route 8 - Beach/Leisure,17,2,0,20.0,1,0,17,53,100,SYNTHETIC,27.1,1,0.53,Wednesday
Route 2 - Airport Link,9,6,1,3.6,0,0,57,38,100,SYNTHETIC,38.4,1,0.38,Sunday
Route 4 - North Suburbs,21,0,0,26.8,0,0,24,16,100,SYNTHETIC,30.0,0,0.16,Monday
Route 10 - West Ring,18,2,0,16.5,0,1,63,77,100,SYNTHETIC,26.9,1,0.77,Wednesday
Route 3 - University Shuttle,17,2,0,17.0,1,0,29,75,100,SYNTHETIC,37.7,1,0.75,Wednesday
Route 6 - Industrial Park,13,4,0,8.4,0,0,36,27,100,SYNTHETIC,45.9,0,0.27,Friday
Route 5 - South Connector,10,1,0,33.0,0,0,26,19,100,SYNTHETIC,24.6,0,0.19,Tuesday
Route 8 - Beach/Leisure,7,1,0,15.8,0,0,10,28,100,SYNTHETIC,27.1,1,0.28,Tuesday
Route 8 - Beach/Leisure,20,4,0,32.6,0,0,33,15,100,SYNTHETIC,27.1,0,0.15,Friday
Route 9 - East Corridor,13,1,0,16.6,0,0,25,21,100,SYNTHETIC,35.6,0,0.21,Tuesday
Route 2 - Airport Link,8,6,1,12.6,0,0,52,64,100,SYNTHETIC,38.4,1,0.64,Sunday
Route 5 - South Connector,10,6,1,30.6,1,0,20,8,100,SYNTHETIC,24.6,0,0.08,Sunday
Route 7 - Hospital Line,15,2,0,19.4,0,0,22,26,100,SYNTHETIC,37.7,0,0.26,Wednesday
Route 5 - South Connector,8,3,0,19.5,0,0,43,43,100,SYNTHETIC,24.6,1,0.43,Thursday
Route 7 - Hospital Line,19,2,0,9.7,0,0,62,50,100,SYNTHETIC,37.7,1,0.5,Wednesday
Route 7 - Hospital Line,18,2,0,16.3,1,0,89,62,100,SYNTHETIC,37.7,1,0.62,Wednesday
Route 4 - North Suburbs,17,4,0,23.4,0,0,21,51,100,SYNTHETIC,30.0,1,0.51,Friday
Route 2 - Airport Link,13,2,0,9.6,0,0,23,24,100,SYNTHETIC,38.4,0,0.24,Wednesday
Route 10 - West Ring,16,1,0,15.7,0,0,22,26,100,SYNTHETIC,26.9,0,0.26,Tuesday
Route 9 - East Corridor,16,1,0,16.6,0,0,22,29,100,SYNTHETIC,35.6,0,0.29,Tuesday
Route 9 - East Corridor,17,6,1,20.5,0,0,17,33,100,SYNTHETIC,35.6,1,0.33,Sunday
Route 3 - University Shuttle,7,1,0,31.8,0,0,8,67,100,SYNTHETIC,37.7,1,0.67,Tuesday
Route 4 - North Suburbs,12,2,0,17.6,1,0,23,24,100,SYNTHETIC,30.0,0,0.24,Wednesday
Route 4 - North Suburbs,6,4,0,14.5,0,0,4,12,100,SYNTHETIC,30.0,0,0.12,Friday
Route 1 - City Centre Express,14,0,0,42.0,0,0,29,31,100,SYNTHETIC,55.2,0,0.31,Monday
Route 2 - Airport Link,11,1,0,16.5,0,0,25,22,100,SYNTHETIC,38.4,0,0.22,Tuesday
Route 4 - North Suburbs,8,1,0,18.5,1,0,48,67,100,SYNTHETIC,30.0,1,0.67,Tuesday
Route 10 - West Ring,7,6,1,17.1,1,0,6,21,100,SYNTHETIC,26.9,1,0.21,Sunday
Route 3 - University Shuttle,16,6,1,17.8,0,0,9,9,100,SYNTHETIC,37.7,0,0.09,Sunday
Route 6 - Industrial Park,8,5,1,20.6,1,0,10,22,100,SYNTHETIC,45.9,1,0.22,Saturday
Route 6 - Industrial Park,20,1,0,27.4,0,0,65,22,100,SYNTHETIC,45.9,0,0.22,Tuesday
Route 4 - North Suburbs,16,4,0,23.2,1,0,27,27,100,SYNTHETIC,30.0,0,0.27,Friday
Route 10 - West Ring,11,4,0,28.6,0,0,13,20,100,SYNTHETIC,26.9,0,0.2,Friday
Route 1 - City Centre Express,16,6,1,28.4,0,1,32,36,100,SYNTHETIC,55.2,0,0.36,Sunday
Route 9 - East Corridor,6,1,0,21.7,0,0,3,14,100,SYNTHETIC,35.6,0,0.14,Tuesday
Route 8 - Beach/Leisure,21,5,1,23.0,0,0,21,15,100,SYNTHETIC,27.1,0,0.15,Saturday
Route 4 - North Suburbs,14,1,0,28.9,0,0,25,17,100,SYNTHETIC,30.0,0,0.17,Tuesday
Route 8 - Beach/Leisure,18,3,0,11.1,0,0,45,39,100,SYNTHETIC,27.1,1,0.39,Thursday
Route 5 - South Connector,7,6,1,40.0,1,0,6,18,100,SYNTHETIC,24.6,1,0.18,Sunday
Route 10 - West Ring,14,0,0,15.9,0,0,12,15,100,SYNTHETIC,26.9,0,0.15,Monday
Route 1 - City Centre Express,14,1,0,17.2,0,0,35,28,100,SYNTHETIC,55.2,0,0.28,Tuesday
Route 1 - City Centre Express,20,5,1,10.3,0,0,41,20,100,SYNTHETIC,55.2,0,0.2,Saturday
Route 6 - Industrial Park,15,0,0,10.5,1,0,29,31,100,SYNTHETIC,45.9,0,0.31,Monday
Route 10 - West Ring,13,4,0,27.8,1,0,23,19,100,SYNTHETIC,26.9,0,0.19,Friday
Route 1 - City Centre Express,9,3,0,38.2,0,0,118,63,100,SYNTHETIC,55.2,1,0.63,Thursday
Route 8 - Beach/Leisure,11,2,0,15.5,1,0,14,14,100,SYNTHETIC,27.1,0,0.14,Wednesday
Route 10 - West Ring,14,6,1,22.8,1,0,6,8,100,SYNTHETIC,26.9,0,0.08,Sunday
Route 5 - South Connector,13,5,1,21.8,1,0,16,9,100,SYNTHETIC,24.6,0,0.09,Saturday
Route 9 - East Corridor,6,2,0,28.0,0,0,5,13,100,SYNTHETIC,35.6,0,0.13,Wednesday
Route 8 - Beach/Leisure,19,0,0,37.7,1,0,51,43,100,SYNTHETIC,27.1,1,0.43,Monday
Route 3 - University Shuttle,20,0,0,32.2,1,0,78,22,100,SYNTHETIC,37.7,0,0.22,Monday
Route 9 - East Corridor,8,0,0,18.1,1,0,74,83,100,SYNTHETIC,35.6,1,0.83,Monday
Route 7 - Hospital Line,15,6,1,24.2,0,0,13,20,100,SYNTHETIC,37.7,0,0.2,Sunday
Route 1 - City Centre Express,7,4,0,25.0,1,1,23,148,100,SYNTHETIC,55.2,1,1.48,Friday
Route 6 - Industrial Park,17,4,0,19.8,1,0,44,114,100,SYNTHETIC,45.9,1,1.14,Friday
Route 7 - Hospital Line,10,1,0,11.2,0,0,44,22,100,SYNTHETIC,37.7,0,0.22,Tuesday
Route 9 - East Corridor,17,5,1,13.6,0,0,13,31,100,SYNTHETIC,35.6,1,0.31,Saturday
Route 8 - Beach/Leisure,17,5,1,29.2,1,0,27,70,100,SYNTHETIC,27.1,1,0.7,Saturday
Route 5 - South Connector,18,5,1,30.0,0,0,23,23,100,SYNTHETIC,24.6,1,0.23,Saturday
Route 3 - University Shuttle,7,3,0,18.3,1,0,14,85,100,SYNTHETIC,37.7,1,0.85,Thursday
Route 2 - Airport Link,20,4,0,22.1,0,0,46,27,100,SYNTHETIC,38.4,0,0.27,Friday
Route 1 - City Centre Express,9,3,0,29.6,0,0,88,75,100,SYNTHETIC,55.2,1,0.75,Thursday
Route 7 - Hospital Line,6,2,0,6.4,0,1,8,16,100,SYNTHETIC,37.7,0,0.16,Wednesday
Route 10 - West Ring,15,4,0,16.4,0,1,27,26,100,SYNTHETIC,26.9,0,0.26,Friday
Route 1 - City Centre Express,12,2,0,36.1,0,0,35,32,100,SYNTHETIC,55.2,0,0.32,Wednesday
Route 8 - Beach/Leisure,19,6,1,22.4,1,0,59,57,100,SYNTHETIC,27.1,1,0.57,Sunday
Route 6 - Industrial Park,18,5,1,11.0,0,0,13,17,100,SYNTHETIC,45.9,1,0.17,Saturday
Route 2 - Airport Link,10,5,1,20.9,0,0,37,21,100,SYNTHETIC,38.4,0,0.21,Saturday
Route 3 - University Shuttle,21,5,1,28.2,0,0,5,5,100,SYNTHETIC,37.7,0,0.05,Saturday
Route 3 - University Shuttle,10,3,0,-0.4,1,0,69,23,100,SYNTHETIC,37.7,0,0.23,Thursday
Route 7 - Hospital Line,14,6,1,21.4,0,0,19,15,100,SYNTHETIC,37.7,0,0.15,Sunday
Route 3 - University Shuttle,9,1,0,17.0,0,0,87,69,100,SYNTHETIC,37.7,1,0.69,Tuesday
Route 9 - East Corridor,20,3,0,6.9,0,0,49,24,100,SYNTHETIC,35.6,0,0.24,Thursday
Route 4 - North Suburbs,8,0,0,20.7,0,0,43,59,100,SYNTHETIC,30.0,1,0.59,Monday
Route 2 - Airport Link,6,2,0,18.9,0,0,1,13,100,SYNTHETIC,38.4,0,0.13,Wednesday
Route 1 - City Centre Express,13,4,0,19.8,0,0,39,33,100,SYNTHETIC,55.2,0,0.33,Friday
Route 5 - South Connector,23,3,0,17.2,0,0,4,0,100,SYNTHETIC,24.6,0,0.0,Thursday
Route 5 - South Connector,20,6,1,11.8,0,0,21,7,100,SYNTHETIC,24.6,0,0.07,Sunday
Route 8 - Beach/Leisure,18,4,0,8.4,0,0,44,45,100,SYNTHETIC,27.1,1,0.45,Friday
Route 5 - South Connector,20,2,0,14.5,1,0,39,15,100,SYNTHETIC,24.6,0,0.15,Wednesday
Route 2 - Airport Link,20,2,0,26.9,1,0,52,27,100,SYNTHETIC,38.4,0,0.27,Wednesday
Route 3 - University Shuttle,14,4,0,21.9,0,1,34,32,100,SYNTHETIC,37.7,0,0.32,Friday
Route 6 - Industrial Park,10,5,1,19.4,0,0,10,13,100,SYNTHETIC,45.9,0,0.13,Saturday
Route 4 - North Suburbs,18,1,0,11.7,1,0,60,64,100,SYNTHETIC,30.0,1,0.64,Tuesday
Route 7 - Hospital Line,17,4,0,17.0,0,0,24,65,100,SYNTHETIC,37.7,1,0.65,Friday
Route 10 - West Ring,12,4,0,25.9,0,0,23,18,100,SYNTHETIC,26.9,0,0.18,Friday
Route 4 - North Suburbs,7,0,0,24.0,0,0,9,52,100,SYNTHETIC,30.0,1,0.52,Monday
Route 6 - Industrial Park,18,6,1,16.2,1,0,14,10,100,SYNTHETIC,45.9,1,0.1,Sunday
Route 9 - East Corridor,9,3,0,-0.9,0,0,63,43,100,SYNTHETIC,35.6,1,0.43,Thursday
Route 3 - University Shuttle,20,1,0,14.6,0,0,62,25,100,SYNTHETIC,37.7,0,0.25,Tuesday
Route 6 - Industrial Park,9,4,0,16.1,1,0,94,65,100,SYNTHETIC,45.9,1,0.65,Friday
Route 4 - North Suburbs,8,4,0,12.7,0,0,50,60,100,SYNTHETIC,30.0,1,0.6,Friday
Route 7 - Hospital Line,19,6,1,16.7,0,0,46,36,100,SYNTHETIC,37.7,1,0.36,Sunday
Route 8 - Beach/Leisure,8,0,0,26.5,0,0,17,25,100,SYNTHETIC,27.1,1,0.25,Monday
Route 2 - Airport Link,8,2,0,19.7,0,0,46,57,100,SYNTHETIC,38.4,1,0.57,Wednesday
Route 2 - Airport Link,16,1,0,27.9,1,0,32,34,100,SYNTHETIC,38.4,0,0.34,Tuesday
Route 1 - City Centre Express,19,4,0,7.9,1,0,112,81,100,SYNTHETIC,55.2,1,0.81,Friday
Route 1 - City Centre Express,8,3,0,17.6,1,0,99,110,100,SYNTHETIC,55.2,1,1.1,Thursday
Route 1 - City Centre Express,10,3,0,4.5,1,1,107,50,100,SYNTHETIC,55.2,0,0.5,Thursday
Route 8 - Beach/Leisure,18,6,1,16.6,0,0,68,63,100,SYNTHETIC,27.1,1,0.63,Sunday
Route 10 - West Ring,21,3,0,11.6,1,0,17,18,100,SYNTHETIC,26.9,0,0.18,Thursday
Route 5 - South Connector,14,2,0,30.3,0,0,17,21,100,SYNTHETIC,24.6,0,0.21,Wednesday
Route 9 - East Corridor,8,0,0,23.3,1,0,55,77,100,SYNTHETIC,35.6,1,0.77,Monday
Route 8 - Beach/Leisure,5,2,0,28.1,1,0,0,1,100,SYNTHETIC,27.1,0,0.01,Wednesday
Route 9 - East Corridor,9,6,1,16.6,1,0,33,24,100,SYNTHETIC,35.6,1,0.24,Sunday
Route 8 - Beach/Leisure,8,3,0,11.8,0,0,25,28,100,SYNTHETIC,27.1,1,0.28,Thursday
Route 2 - Airport Link,17,6,1,11.6,0,0,31,51,100,SYNTHETIC,38.4,1,0.51,Sunday
Route 6 - Industrial Park,8,3,0,22.1,0,0,80,98,100,SYNTHETIC,45.9,1,0.98,Thursday
Route 6 - Industrial Park,14,3,0,34.5,1,0,35,28,100,SYNTHETIC,45.9,0,0.28,Thursday
Route 7 - Hospital Line,17,3,0,23.3,0,0,28,62,100,SYNTHETIC,37.7,1,0.62,Thursday
Route 8 - Beach/Leisure,16,3,0,17.0,0,0,15,19,100,SYNTHETIC,27.1,0,0.19,Thursday
Route 2 - Airport Link,8,0,0,18.5,0,0,50,59,100,SYNTHETIC,38.4,1,0.59,Monday
Route 7 - Hospital Line,18,0,0,19.7,1,0,70,70,100,SYNTHETIC,37.7,1,0.7,Monday
Route 9 - East Corridor,17,3,0,36.2,1,0,32,61,100,SYNTHETIC,35.6,1,0.61,Thursday
Route 2 - Airport Link,18,4,0,29.9,1,0,67,58,100,SYNTHETIC,38.4,1,0.58,Friday
Route 5 - South Connector,8,3,0,22.1,0,0,39,45,100,SYNTHETIC,24.6,1,0.45,Thursday
Route 9 - East Corridor,8,3,0,20.9,0,0,41,64,100,SYNTHETIC,35.6,1,0.64,Thursday
Route 1 - City Centre Express,20,2,0,22.4,0,1,114,46,100,SYNTHETIC,55.2,0,0.46,Wednesday
Route 2 - Airport Link,12,4,0,24.0,0,0,32,32,100,SYNTHETIC,38.4,0,0.32,Friday
Route 9 - East Corridor,10,4,0,16.7,0,0,46,19,100,SYNTHETIC,35.6,0,0.19,Friday
Route 2 - Airport Link,14,0,0,13.2,0,0,21,30,100,SYNTHETIC,38.4,0,0.3,Monday
Route 8 - Beach/Leisure,17,3,0,28.3,1,0,22,49,100,SYNTHETIC,27.1,1,0.49,Thursday
Route 10 - West Ring,21,4,0,20.2,0,0,21,10,100,SYNTHETIC,26.9,0,0.1,Friday
Route 5 - South Connector,10,5,1,27.6,1,0,17,13,100,SYNTHETIC,24.6,0,0.13,Saturday
Route 5 - South Connector,20,2,0,33.2,1,0,35,17,100,SYNTHETIC,24.6,0,0.17,Wednesday
Route 5 - South Connector,6,6,1,24.2,0,0,0,11,100,SYNTHETIC,24.6,0,0.11,Sunday
Route 4 - North Suburbs,15,4,0,22.9,0,0,21,22,100,SYNTHETIC,30.0,0,0.22,Friday
Route 4 - North Suburbs,16,3,0,42.0,0,0,20,26,100,SYNTHETIC,30.0,0,0.26,Thursday
Route 6 - Industrial Park,7,4,0,21.7,0,0,11,85,100,SYNTHETIC,45.9,1,0.85,Friday
Route 9 - East Corridor,8,6,1,11.3,1,0,31,37,100,SYNTHETIC,35.6,1,0.37,Sunday
Route 10 - West Ring,12,1,0,17.8,0,0,17,20,100,SYNTHETIC,26.9,0,0.2,Tuesday
Route 9 - East Corridor,21,1,0,32.4,1,0,29,13,100,SYNTHETIC,35.6,0,0.13,Tuesday
Route 2 - Airport Link,16,3,0,9.6,0,0,29,34,100,SYNTHETIC,38.4,0,0.34,Thursday
Route 4 - North Suburbs,20,0,0,14.0,0,0,43,24,100,SYNTHETIC,30.0,0,0.24,Monday
Route 8 - Beach/Leisure,18,5,1,28.9,0,0,63,58,100,SYNTHETIC,27.1,1,0.58,Saturday
Route 6 - Industrial Park,13,6,1,17.8,0,0,8,9,100,SYNTHETIC,45.9,0,0.09,Sunday
Route 4 - North Suburbs,18,4,0,19.1,0,0,52,59,100,SYNTHETIC,30.0,1,0.59,Friday
Route 4 - North Suburbs,5,6,1,28.6,0,0,3,0,100,SYNTHETIC,30.0,0,0.0,Sunday
Route 2 - Airport Link,7,0,0,14.3,1,0,19,55,100,SYNTHETIC,38.4,1,0.55,Monday
Route 4 - North Suburbs,19,4,0,8.3,0,0,51,51,100,SYNTHETIC,30.0,1,0.51,Friday
Route 5 - South Connector,18,3,0,8.9,1,0,49,49,100,SYNTHETIC,24.6,1,0.49,Thursday
Route 5 - South Connector,9,1,0,24.7,0,0,51,35,100,SYNTHETIC,24.6,1,0.35,Tuesday
Route 6 - Industrial Park,15,2,0,22.1,0,1,42,44,100,SYNTHETIC,45.9,0,0.44,Wednesday
