_id,BUSINESS DATE,STATION,00:00 Hrs To     01:00 Hrs,01:00 Hrs To     02:00 Hrs,02:00 Hrs To     03:00 Hrs,03:00 Hrs To     04:00 Hrs,04:00 Hrs To     05:00 Hrs,05:00 Hrs To     06:00 Hrs,06:00 Hrs To     07:00 Hrs,07:00 Hrs To     08:00 Hrs,08:00 Hrs To     09:00 Hrs,09:00 Hrs To     10:00 Hrs,10:00 Hrs To     11:00 Hrs,11:00 Hrs To     12:00 Hrs,12:00 Hrs To     13:00 Hrs,13:00 Hrs To     14:00 Hrs,14:00 Hrs To     15:00 Hrs,15:00 Hrs To     16:00 Hrs,16:00 Hrs To     17:00 Hrs,17:00 Hrs To     18:00 Hrs,18:00 Hrs To     19:00 Hrs,19:00 Hrs To     20:00 Hrs,20:00 Hrs To     21:00 Hrs,21:00 Hrs To     22:00 Hrs,22:00 Hrs To     23:00 Hrs,23:00 Hrs To Last train,TOTAL
61,2025-08-01,225-Konanakunte Cross,0,0,0,0,7,61,173,769,1296,1530,899,620,457,443,508,499,655,721,768,865,595,573,400,20,11859
62,2025-08-01,226-Doddakallasandra,0,0,0,0,3,20,90,437,753,832,437,265,221,197,195,243,195,221,338,312,205,120,52,1,5137
63,2025-08-01,227-Vajarahalli,0,0,0,0,10,35,72,488,685,738,421,286,269,247,217,387,322,305,334,393,175,153,84,4,5625
64,2025-08-01,228-Thalghattapura,0,0,0,0,1,15,51,259,462,452,273,134,126,110,92,111,186,147,178,119,93,71,24,0,2904
65,2025-08-01,229-Silk Institute,0,0,0,0,12,37,101,425,719,820,560,383,360,379,274,314,556,542,506,417,217,127,39,2,6790
66,2025-08-01,230-Manjunatha Nagar,0,0,0,0,1,9,26,106,173,150,79,52,56,68,39,42,44,60,94,122,43,38,11,1,1214
67,2025-08-01,231-Chikkabidarakallu,0,0,0,0,3,29,83,364,699,759,412,245,202,152,132,160,171,144,224,302,130,77,47,1,4336
68,2025-08-01,232-Madavara,0,0,0,0,1,36,104,409,893,848,519,426,324,347,300,279,452,440,631,386,264,149,64,0,6872
69,2025-08-02,11-Baiyappanahalli,0,0,0,0,23,115,223,555,1072,1830,888,760,739,704,633,681,621,664,665,679,417,283,163,15,11730
70,2025-08-02,12-SV Road,0,0,0,0,1,85,90,265,439,491,386,395,413,517,470,608,517,486,458,454,293,201,118,23,6710
71,2025-08-02,13-Indiranagar,0,0,0,0,8,67,178,479,735,1012,954,884,1196,1219,1365,1406,1627,1732,2110,1873,1396,1066,747,171,20225
72,2025-08-02,14-Halasuru,0,0,0,0,5,55,169,381,679,876,612,614,550,474,482,444,396,475,579,593,506,281,149,23,8343
73,2025-08-02,15-Trinity,0,0,0,0,0,6,55,103,157,184,211,272,378,509,598,534,667,1012,1525,1098,570,348,232,30,8489
74,2025-08-02,16-MG Road,0,0,0,0,1,21,60,99,206,268,387,596,1083,1248,1208,1394,1904,2342,2934,3064,2819,2202,2063,674,24573
75,2025-08-02,17-Cubbon Park,0,0,0,0,1,15,49,146,210,294,318,481,632,795,862,892,1051,1554,2080,1167,598,329,259,53,11786
76,2025-08-02,18-Vidhana Soudha,0,0,0,0,0,3,58,83,151,206,303,371,567,770,914,702,844,2244,1623,828,451,213,78,15,10424
77,2025-08-02,19-Sir.M. Visveshwaraya,0,0,0,0,0,9,30,122,188,215,337,649,938,1063,956,860,1135,2243,2204,1247,782,448,169,10,13605
78,2025-08-02,110-Kempegowda,0,0,0,0,193,544,1006,1305,1704,2040,1867,1768,1746,1977,1953,1730,2074,2337,2628,2591,2196,1836,1259,243,32997
79,2025-08-02,111-Bangalore City Station,0,0,0,0,55,218,710,622,840,1192,649,529,566,436,616,509,487,789,592,655,600,679,366,71,11181
80,2025-08-02,112-Magadi Road,0,0,0,0,9,78,130,324,642,969,921,395,387,398,302,350,461,363,437,394,274,166,168,19,7187
81,2025-08-02,113-Hosahalli,0,0,0,0,2,78,148,421,806,1212,1014,520,514,520,434,433,407,537,599,448,350,235,116,22,8816
82,2025-08-02,114-Vijayanagar,0,0,0,0,7,95,187,545,893,1541,1030,603,661,722,605,561,530,608,586,610,518,366,221,30,10919
83,2025-08-02,115-Attiguppe,0,0,0,0,10,62,174,413,646,1110,780,464,462,477,408,335,357,446,442,385,309,221,140,23,7664
84,2025-08-02,116-Deepanjali Nagar,0,0,0,0,6,62,113,180,364,476,329,264,293,304,244,149,175,207,261,281,260,214,135,10,4327
85,2025-08-02,117-Mysuru Road,0,0,0,0,6,28,69,189,394,559,427,276,251,258,247,224,212,239,305,257,212,139,82,7,4381
86,2025-08-02,118-Nayandahalli,0,0,0,0,2,14,30,83,151,153,111,85,139,127,128,185,175,148,187,226,162,85,81,14,2286
87,2025-08-02,119-Rajarajeshwari Nagar,0,0,0,0,0,32,75,219,346,448,366,287,364,334,331,321,318,315,480,357,276,178,118,11,5176
88,2025-08-02,120-Jnanabharathi,0,0,0,0,0,20,69,182,288,521,366,248,304,231,198,215,213,201,231,163,125,85,85,3,3748
89,2025-08-02,121-Pattangere,0,0,0,0,6,61,61,149,283,404,342,274,268,234,228,264,230,259,270,208,134,101,68,3,3847
90,2025-08-02,122-Kengeri Bus Terminal,0,0,0,0,7,56,123,262,495,684,474,492,481,468,319,432,415,499,507,399,349,253,120,11,6846
91,2025-08-02,123-Kengeri,0,0,0,0,2,20,68,215,343,548,383,292,295,270,311,334,322,307,409,356,317,255,150,29,5226
92,2025-08-02,124-Challaghatta,0,0,0,0,7,23,75,189,350,416,382,412,447,769,647,425,440,428,553,533,420,308,185,19,7028
93,2025-08-02,125-Benniganahalli,0,0,0,0,24,215,483,1083,1929,2295,1807,1819,1498,1424,1355,1486,1474,1757,1549,1598,1283,907,448,57,24491
94,2025-08-02,126-Krishnarajapura,2,0,0,0,48,215,301,777,1149,1372,1295,1261,1217,1112,1010,1042,1092,1050,1037,976,655,564,180,21,16376
95,2025-08-02,127-Singayyanapalya,1,0,0,0,4,49,103,200,389,479,381,386,475,432,473,502,665,837,736,887,790,682,589,70,9130
96,2025-08-02,128-Garudacharpalya,0,0,0,0,9,54,99,230,336,328,251,283,248,391,301,296,453,396,578,538,317,356,186,7,5657
97,2025-08-02,129-Hoodi,0,0,0,0,0,57,135,204,360,412,412,499,488,483,460,457,534,601,647,572,470,321,152,3,7267
98,2025-08-02,130-Seetharampalya,2,0,0,0,4,69,150,195,304,358,359,434,504,446,448,510,474,540,596,498,340,214,139,7,6591
99,2025-08-02,131-Kundalahalli,0,0,0,0,0,54,113,151,215,308,338,466,386,421,436,436,398,465,450,335,340,142,67,2,5523
100,2025-08-02,132-Nallur Halli,0,0,0,0,0,45,55,109,184,253,270,290,373,590,439,399,451,485,504,444,262,131,76,11,5371
101,2025-08-02,133-Sri Sathya Sai Hospital,0,0,0,0,0,18,38,51,75,84,107,95,180,193,190,177,230,237,286,185,143,65,42,13,2409
102,2025-08-02,134-Pattandur Agrahara,1,0,0,0,0,45,66,104,133,129,176,217,267,294,344,323,298,413,504,441,303,205,113,16,4392
103,2025-08-02,135-Kadugodi Tree Park,0,0,0,0,13,117,242,406,677,777,741,826,776,741,786,655,730,702,815,732,527,319,163,0,10745
104,2025-08-02,136-Hopefarm Channasandra,0,0,0,0,3,15,35,68,144,156,123,163,180,176,137,169,148,166,157,129,108,64,26,0,2167
105,2025-08-02,137-Whitefield (Kadugodi),0,0,0,0,6,49,213,503,683,699,496,529,531,531,552,332,509,523,456,385,300,169,61,0,7527
106,2025-08-02,21-Nagasandra,0,0,0,0,5,47,114,493,779,1005,697,488,627,753,620,712,713,972,1131,1043,810,403,299,8,11719
107,2025-08-02,22-Dasarahalli,0,0,0,0,1,101,214,615,1139,1338,911,788,716,741,578,546,507,520,667,700,472,352,174,13,11093
108,2025-08-02,23-Jalahalli,0,0,0,0,0,54,150,309,547,590,493,545,545,558,451,485,438,555,718,540,376,301,196,7,7858
109,2025-08-02,24-Peenya Industry,0,0,0,0,3,10,37,80,147,191,123,87,120,127,118,93,129,219,191,114,56,51,29,0,1925
110,2025-08-02,25-Peenya,0,0,0,0,0,27,49,144,244,336,262,240,201,244,184,250,264,295,308,236,135,77,61,7,3564
111,2025-08-02,26-Yeshwanthpur Industry,0,0,0,0,3,54,117,232,432,482,492,440,508,501,457,396,413,487,685,570,447,287,179,23,7205
112,2025-08-02,27-Yeshwanthpur,0,0,0,0,113,455,695,1008,1125,824,971,612,733,526,771,409,614,811,636,790,1059,1070,377,125,13724
113,2025-08-02,28-Sandal Soap Factory,0,0,0,0,6,21,78,193,327,396,396,487,667,834,988,944,1071,1130,1330,1256,1082,813,644,96,12759
114,2025-08-02,29-Mahalakshmi,0,0,0,0,3,37,122,338,678,939,645,534,603,723,877,629,605,713,823,824,757,477,149,26,10502
115,2025-08-02,210-Rajajinagar,0,0,0,0,7,67,147,422,817,945,808,651,674,653,759,706,741,774,859,708,549,340,218,38,10883
116,2025-08-02,211-Kuvempu Road,0,0,0,0,0,36,82,273,463,690,490,351,310,301,317,289,321,328,396,389,293,154,108,6,5597
117,2025-08-02,212-Srirampura,0,0,0,0,4,33,66,261,490,683,536,313,340,406,338,313,356,363,407,409,274,196,85,9,5882
118,2025-08-02,213-Mantri Square Sampige Road,0,0,0,0,2,35,98,327,591,831,693,626,958,1140,1453,1336,1599,1978,2122,2173,1543,1322,722,78,19627
119,2025-08-02,215-Chickpete,0,0,0,0,0,7,67,179,270,343,304,357,686,1171,1692,1955,2113,2164,2424,2473,2203,1210,242,17,19877
120,2025-08-02,216-KR Market,0,0,0,0,2,89,119,226,441,404,370,395,523,728,723,710,893,912,936,861,731,373,214,32,9682
121,2025-08-02,217-National College,0,0,0,0,0,37,79,270,504,649,766,825,895,1294,1124,846,839,1002,1078,926,778,590,242,36,12780
122,2025-08-02,218-Lalbagh,0,0,0,0,4,17,53,105,187,226,231,292,358,420,425,454,581,660,880,686,309,217,102,13,6220
123,2025-08-02,219-South End Circle,0,0,0,0,4,28,39,127,227,326,343,390,539,753,881,509,614,689,911,716,612,335,161,15,8219
124,2025-08-02,220-Jayanagar,0,0,0,0,2,35,96,245,430,562,606,713,871,1169,1219,1136,1717,1466,1666,1405,1204,795,388,36,15761
125,2025-08-02,221-RV Road,0,0,0,0,5,48,74,207,346,418,419,512,541,618,627,589,665,719,804,690,498,315,180,12,8287
126,2025-08-02,222-Banashankarl,0,0,0,0,0,87,201,498,866,1049,909,889,1121,1045,942,866,862,1032,1078,974,858,535,247,25,14084
127,2025-08-02,223-JP Nagar,0,0,0,0,1,95,134,375,771,938,678,572,648,587,581,628,626,688,774,706,540,388,268,31,10029
128,2025-08-02,224-Puttenahalli,0,0,0,0,4,74,145,433,835,1078,722,596,549,746,590,546,577,623,688,518,336,309,135,9,9513
129,2025-08-02,225-Konanakunte Cross,0,0,0,0,2,95,167,505,787,1000,782,806,776,901,743,928,1006,975,1031,1138,871,643,655,65,13876
130,2025-08-02,226-Doddakallasandra,0,0,0,0,7,26,59,295,384,525,373,364,367,314,267,304,316,339,363,270,209,100,69,7,4958
131,2025-08-02,227-Vajarahalli,0,0,0,0,8,47,69,316,374,455,455,373,332,437,394,350,351,369,370,343,198,115,75,9,5440
132,2025-08-02,228-Thalghattapura,0,0,0,0,1,19,47,180,235,336,227,175,164,181,141,203,161,185,182,203,83,81,46,4,2854
133,2025-08-02,229-Silk Institute,0,0,0,0,8,25,95,307,481,608,603,482,437,444,382,483,422,492,620,534,287,164,57,1,6932
134,2025-08-02,230-Manjunatha Nagar,0,0,0,0,0,14,21,69,136,124,84,87,48,53,69,42,64,81,143,101,44,71,32,0,1283
135,2025-08-02,231-Chikkabidarakallu,0,0,0,0,2,25,75,262,443,521,348,291,266,238,205,207,212,253,298,242,131,81,64,0,4164
136,2025-08-02,232-Madavara,0,0,0,0,3,63,75,295,542,690,511,543,406,553,445,445,409,478,711,501,363,198,157,0,7388
137,2025-08-03,11-Baiyappanahalli,0,0,0,0,0,0,75,268,392,645,660,687,698,625,592,436,539,589,457,704,342,318,106,7,8140
138,2025-08-03,12-SV Road,0,0,0,0,1,0,25,174,239,195,295,473,436,454,397,313,334,367,305,263,153,170,106,10,4710
139,2025-08-03,13-Indiranagar,0,0,0,0,0,0,73,271,346,475,706,813,932,1053,1061,1186,1394,1025,1190,1075,993,829,614,93,14129
140,2025-08-03,14-Halasuru,0,0,0,0,0,0,31,188,210,330,476,507,569,467,435,396,450,358,513,430,386,202,95,7,6050
141,2025-08-03,15-Trinity,0,0,0,0,0,0,13,56,71,124,172,200,242,245,340,345,366,323,333,360,318,230,168,31,3937
142,2025-08-03,16-MG Road,0,0,0,0,0,0,14,79,116,177,291,377,584,678,1256,1468,1623,2012,1993,2139,2449,2093,1591,414,19354
143,2025-08-03,17-Cubbon Park,0,0,0,0,0,0,2,110,160,242,256,307,473,655,825,1139,1204,1291,1255,677,441,376,171,19,9603
144,2025-08-03,18-Vidhana Soudha,0,0,0,0,0,0,2,79,125,185,187,185,268,319,502,518,567,636,569,408,195,134,66,11,4956
145,2025-08-03,19-Sir.M. Visveshwaraya,0,0,0,0,0,0,15,57,64,89,206,162,211,295,336,416,465,461,444,349,195,106,62,9,3942
146,2025-08-03,110-Kempegowda,0,0,0,0,0,1,699,1628,1546,1929,2502,2466,2479,2491,2567,2551,2649,2964,2567,2352,2006,1650,1329,288,36664
147,2025-08-03,111-Bangalore City Station,0,0,0,0,0,0,9,1017,374,487,717,525,650,402,652,507,683,913,989,693,557,1115,472,62,10824
148,2025-08-03,112-Magadi Road,0,0,0,0,0,0,32,176,253,293,378,314,328,407,382,410,399,351,265,294,183,168,134,13,4780
149,2025-08-03,113-Hosahalli,0,0,0,0,0,0,22,190,224,306,465,414,469,457,412,397,417,379,280,307,230,151,116,16,5252
150,2025-08-03,114-Vijayanagar,0,0,0,0,0,0,52,245,285,372,509,687,605,595,537,568,551,575,554,487,347,303,179,11,7462
151,2025-08-03,115-Attiguppe,0,0,0,0,0,0,2,275,288,269,408,427,408,467,370,358,356,409,333,303,224,188,142,10,5237
152,2025-08-03,116-Deepanjali Nagar,0,0,0,0,0,0,51,104,131,207,218,272,293,230,199,196,204,228,261,233,167,148,92,9,3243
153,2025-08-03,117-Mysuru Road,0,0,0,0,0,0,19,81,123,163,199,274,275,262,332,236,208,257,278,190,142,103,69,13,3224
154,2025-08-03,118-Nayandahalli,0,0,0,0,0,0,8,30,53,51,67,127,139,135,147,158,154,206,187,177,111,79,84,19,1932
155,2025-08-03,119-Rajarajeshwari Nagar,0,0,0,0,0,0,19,77,144,181,325,334,379,366,354,375,365,367,294,308,222,216,111,9,4446
156,2025-08-03,120-Jnanabharathi,0,0,0,0,0,0,0,103,93,141,180,286,223,194,200,232,207,238,146,134,107,89,86,4,2663
157,2025-08-03,121-Pattangere,0,0,0,0,0,0,14,59,69,117,199,198,230,220,240,198,200,195,165,171,114,108,75,2,2574
158,2025-08-03,122-Kengeri Bus Terminal,0,0,0,0,0,0,58,164,215,404,397,524,548,536,443,411,417,548,513,441,427,288,220,12,6566
159,2025-08-03,123-Kengeri,0,0,0,0,0,0,13,88,136,208,276,324,346,313,308,416,404,538,568,535,390,374,229,1,5467
160,2025-08-03,124-Challaghatta,0,0,0,0,0,0,61,124,210,309,436,531,498,517,388,351,389,465,409,350,455,340,204,4,6041
161,2025-08-03,125-Benniganahalli,0,0,0,0,0,0,225,693,1021,1282,1569,1945,1922,1542,1255,1425,1314,1539,1347,1162,983,796,469,71,20560
162,2025-08-03,126-Krishnarajapura,0,0,0,0,0,0,97,409,559,643,1083,1203,1072,996,819,955,854,926,701,722,899,612,267,95,12912
163,2025-08-03,127-Singayyanapalya,0,0,0,0,0,0,28,119,171,268,314,359,350,398,489,435,682,653,706,865,775,602,481,19,7714
164,2025-08-03,128-Garudacharpalya,0,0,0,0,0,0,27,145,171,207,213,277,260,269,249,264,381,391,423,334,194,260,131,25,4221
165,2025-08-03,129-Hoodi,0,0,0,0,0,0,40,151,195,260,389,431,445,410,409,429,379,462,461,414,303,275,132,6,5591
166,2025-08-03,130-Seetharampalya,0,0,0,0,0,1,28,131,187,189,299,352,340,311,377,377,439,414,311,264,204,128,91,9,4452
167,2025-08-03,131-Kundalahalli,0,0,0,0,0,0,33,144,221,221,250,298,351,333,316,358,348,352,287,199,138,93,40,0,3982
168,2025-08-03,132-Nallur Halli,0,0,0,0,0,0,26,86,212,229,234,286,314,240,239,299,302,234,247,180,114,103,61,9,3415
169,2025-08-03,133-Sri Sathya Sai Hospital,0,0,0,0,0,0,18,64,46,101,68,68,74,73,110,94,106,122,118,79,79,59,22,2,1303
170,2025-08-03,134-Pattandur Agrahara,3,0,0,0,0,0,8,64,77,92,141,175,203,239,277,245,243,283,217,234,202,130,91,15,2939
171,2025-08-03,135-Kadugodi Tree Park,0,0,0,0,0,0,71,215,336,458,667,796,625,690,682,667,620,705,582,436,372,213,126,0,8261
172,2025-08-03,136-Hopefarm Channasandra,0,0,0,0,0,0,19,51,64,101,140,144,107,119,126,121,169,100,100,114,68,34,17,0,1594
173,2025-08-03,137-Whitefield (Kadugodi),0,0,0,0,0,0,44,241,296,391,474,576,560,497,517,455,410,413,411,364,278,157,69,0,6153
174,2025-08-03,21-Nagasandra,0,0,0,0,0,1,47,222,243,418,480,667,617,576,639,734,910,834,888,826,565,521,295,8,9491
175,2025-08-03,22-Dasarahalli,0,0,0,0,0,0,7,385,426,568,879,930,933,847,703,731,617,517,604,508,353,350,201,5,9564
176,2025-08-03,23-Jalahalli,0,0,0,0,0,0,14,246,290,411,577,735,706,691,526,551,568,597,520,409,268,257,122,5,7493
177,2025-08-03,24-Peenya Industry,0,0,0,0,0,0,10,29,37,43,83,93,140,105,72,75,73,112,98,60,32,34,10,0,1106
178,2025-08-03,25-Peenya,0,0,0,0,0,0,21,70,82,118,153,234,215,253,169,163,212,217,165,157,127,88,66,9,2519
179,2025-08-03,26-Yeshwanthpur Industry,0,0,0,0,0,0,63,205,221,300,389,443,433,476,381,419,451,447,425,473,385,326,249,20,6106
180,2025-08-03,27-Yeshwanthpur,0,0,0,0,0,0,268,830,704,947,650,360,918,979,631,585,498,747,665,516,2300,615,445,198,12856
