Unique ID,Datetime,Stop Name,Remote Unit,Line,Connecting Lines,Daytime Routes,North Direction Label,South Direction Label,Division,Structure,Borough,Neighborhood,Latitude,Longitude,Entries,Exits
89,2017-02-04 04:00:00,33 St,R176,Lexington Av,6,6,Uptown Bronx,Downtown,IRT,Subway,M,Stuyvesant Town/Turtle Bay,40.746081,-73.982076,300.0,353.0
99,2017-02-04 04:00:00,36 St,R197,4th Av,DNR,DNR,Manhattan,Coney Island - Bay Ridge,BMT,Subway,Bk,Sunset Park,40.655144,-74.00354899999999,472.0,353.0
100,2017-02-04 04:00:00,36 St,R339,Queens Blvd,MR,MR,Forest Hills,Manhattan,IND,Subway,Q,Astoria,40.752039,-73.928781,44.0,41.0
105,2017-02-04 04:00:00,42 St - Port Authority Bus Terminal,R010,8th Av - Fulton St,ACENQRS1237,ACE,Uptown - Queens,Downtown Brooklyn,IND,Subway,M,Clinton/Chelsea,40.757308,-73.989735,1410.0,855.0
109,2017-02-04 04:00:00,46 St,R267,Queens Blvd,MR,MR,Forest Hills,Manhattan,IND,Subway,Q,Astoria,40.756312,-73.913333,195.0,157.0
113,2017-02-04 04:00:00,5 Av/53 St,R015,Queens Blvd,EM,EM,Queens,Downtown Brooklyn,IND,Subway,M,Clinton/Chelsea,40.760167,-73.975224,57.0,179.0
114,2017-02-04 04:00:00,5 Av/59 St,R079,Astoria,NQR,NWR,Queens,Downtown Brooklyn,BMT,Subway,M,Upper West Side,40.764811,-73.973347,637.0,994.0
120,2017-02-04 04:00:00,52 St,R327,Flushing,7,7,Flushing,Manhattan,IRT,Elevated,Q,Woodside/Sunnyside,40.744149,-73.912549,217.0,253.0
123,2017-02-04 04:00:00,57 St,R302,6th Av - Culver,F,F,Uptown Queens,Downtown Brooklyn,IND,Subway,M,Clinton/Chelsea,40.763972,-73.97745,261.0,254.0
132,2017-02-04 04:00:00,62 St,R398,"West End, Sea Beach",ND,DN,Manhattan Manhattan,Coney Island Coney Island,BMT,Elevated,Bk,Bensonhurst,40.625657,-73.996624,231.0,129.0
134,2017-02-04 04:00:00,65 St,R340,Queens Blvd,MR,MR,Forest Hills,Manhattan,IND,Subway,Q,Woodside/Sunnyside,40.749669,-73.898453,129.0,104.0
135,2017-02-04 04:00:00,66 St - Lincoln Center,R164,Broadway - 7Av,1,1,Uptown Bronx,Downtown,IRT,Subway,M,Upper West Side,40.77344,-73.982209,175.0,168.0
137,2017-02-04 04:00:00,68 St - Hunter College,R177,Lexington Av,6,6,Uptown Bronx,Downtown,IRT,Subway,M,Upper East Side,40.768141,-73.96387,145.0,430.0
138,2017-02-04 04:00:00,69 St,R347,Flushing,7,7,Flushing,Manhattan,IRT,Elevated,Q,Woodside/Sunnyside,40.746325,-73.896403,230.0,229.0
139,2017-02-04 04:00:00,7 Av,R113,Queens Blvd,BDE,BDE,Uptown Bronx - Queens,Downtown Brooklyn,IND,Subway,M,Clinton/Chelsea,40.762862,-73.981637,133.0,191.0
140,2017-02-04 04:00:00,7 Av,R171,Broadway - Brighton,BQ,BQ,Manhattan,Brighton Beach Coney Island,BMT,Subway,Bk,Crown Heights/Prospect Heights,40.67705,-73.972367,67.0,174.0
143,2017-02-04 04:00:00,72 St,R452,Broadway - 7Av,123,123,Uptown Bronx,Downtown Brooklyn,IRT,Subway,M,Upper West Side,40.778453000000006,-73.98196999999999,291.0,525.0
144,2017-02-04 04:00:00,72 St,R570,Second Av,Q,Q,Uptown,Downtown Brooklyn,IND,Subway,M,Upper East Side,40.768799,-73.958424,176.0,560.0
148,2017-02-04 04:00:00,77 St,R178,Lexington Av,6,6,Uptown Bronx,Downtown,IRT,Subway,M,Upper East Side,40.77362,-73.959874,300.0,669.0
150,2017-02-04 04:00:00,79 St,R166,Broadway - 7Av,1,1,Uptown Bronx,Downtown,IRT,Subway,M,Upper West Side,40.783934,-73.979917,175.0,118.0
152,2017-02-04 04:00:00,8 Av,R175,Canarsie,ACEL,L,,Brooklyn,BMT,Subway,M,Financial District,40.739777,-74.002578,772.0,651.0
153,2017-02-04 04:00:00,8 Av,R390,Sea Beach,N,N,Manhattan,Coney Island,BMT,Open Cut,Bk,Sunset Park,40.635064,-74.011719,276.0,136.0
155,2017-02-04 04:00:00,80 St,R383,Liberty Av,A,A,Manhattan,Lefferts - Rockaways,IND,Elevated,Q,South Ozone Park/Howard Beach,40.679371,-73.858992,251.0,140.0
156,2017-02-04 04:00:00,81 St - Museum of Natural History,R187,8th Av - Fulton St,BC,BC,Uptown Bronx,Downtown Brooklyn,IND,Subway,M,Upper West Side,40.781433,-73.972143,98.0,38.0
159,2017-02-04 04:00:00,86 St,R167,Broadway - 7Av,1,1,Uptown Bronx,Downtown,IRT,Subway,M,Upper West Side,40.788644,-73.976218,226.0,339.0
163,2017-02-04 04:00:00,86 St,R397,Sea Beach,N,N,Manhattan,Coney Island,BMT,Open Cut,Bk,Coney Island,40.592721,-73.97823000000001,62.0,57.0
164,2017-02-04 04:00:00,86 St,R571,Second Av,Q,Q,Uptown,Downtown Brooklyn,IND,Subway,M,Upper East Side,40.777891,-73.951787,141.0,279.0
165,2017-02-04 04:00:00,88 St,R384,Liberty Av,A,A,Manhattan,Lefferts - Rockaways,IND,Elevated,Q,Kew Gardens/Woodhaven,40.679843,-73.85146999999999,178.0,40.0
166,2017-02-04 04:00:00,9 Av,R368,West End,D,D,Manhattan,Coney Island,BMT,Open Cut,Bk,Sunset Park,40.646292,-73.994324,238.0,203.0
169,2017-02-04 04:00:00,96 St,R144,Lexington Av,6,6,Uptown Bronx,Downtown,IRT,Subway,M,Upper East Side,40.785672,-73.95107,218.0,190.0
170,2017-02-04 04:00:00,96 St,R168,Broadway - 7Av,123,123,Uptown Bronx,Downtown Brooklyn,IRT,Subway,M,Upper West Side,40.793919,-73.972323,462.0,932.0
172,2017-02-04 04:00:00,96 St,R572,Second Av,Q,Q,,Downtown Brooklyn,IND,Subway,M,Upper East Side,40.784318,-73.947152,179.0,355.0
173,2017-02-04 04:00:00,Alabama Av,R433,Jamaica,J,J,Jamaica,Manhattan,BMT,Elevated,Bk,East New York/Starrett City,40.676992,-73.89865400000001,143.0,146.0
174,2017-02-04 04:00:00,Allerton Av,R362,Lenox - White Plains Rd,25,25,Wakefield - 241 St,Manhattan,IRT,Elevated,Bx,Morris Park/Bronxdale,40.865462,-73.867352,335.0,81.0
175,2017-02-04 04:00:00,Aqueduct - N Conduit Av,R357,Rockaway,A,A,Manhattan,Rockaways,IND,At Grade,Q,South Ozone Park/Howard Beach,40.668234000000005,-73.834058,59.0,43.0
177,2017-02-04 04:00:00,Astor Pl,R160,Lexington Av,6,6,Uptown Bronx,Downtown,IRT,Subway,M,Financial District,40.730054,-73.99107,408.0,173.0
184,2017-02-04 04:00:00,Avenue I,R421,6th Av - Culver,F,F,Manhattan,Coney Island,IND,Elevated,Bk,Borough Park,40.625322,-73.976127,3.0,2.0
187,2017-02-04 04:00:00,Avenue N,R423,6th Av - Culver,F,F,Manhattan,Coney Island,IND,Elevated,Bk,Borough Park,40.61514,-73.974197,3.0,2.0
189,2017-02-04 04:00:00,Avenue U,R150,Broadway - Brighton,BQ,BQ,Manhattan,Brighton Beach Coney Island,BMT,Open Cut,Bk,Sheepshead Bay,40.5993,-73.955929,301.0,57.0
190,2017-02-04 04:00:00,Avenue U,R396,Sea Beach,N,N,Manhattan,Coney Island,BMT,Open Cut,Bk,Bensonhurst,40.597473,-73.979137,82.0,55.0
191,2017-02-04 04:00:00,Avenue U,R425,6th Av - Culver,F,F,Manhattan,Coney Island,IND,Elevated,Bk,Coney Island,40.596063,-73.973357,2.0,1.0
193,2017-02-04 04:00:00,Bay 50 St,R400,West End,D,D,Manhattan,Coney Island,BMT,Elevated,Bk,Coney Island,40.588841,-73.983765,76.0,3.0
194,2017-02-04 04:00:00,Bay Pkwy,R374,West End,D,D,Manhattan,Coney Island,BMT,Elevated,Bk,Bensonhurst,40.601875,-73.993728,314.0,180.0
195,2017-02-04 04:00:00,Bay Pkwy,R422,6th Av - Culver,F,F,Manhattan,Coney Island,IND,Elevated,Bk,Borough Park,40.620769,-73.975264,2.0,1.0
198,2017-02-04 04:00:00,Baychester Av,R292,Dyre Av,5,5,Eastchester - Dyre Av,Manhattan,IRT,Open Cut,Bx,Throgs Neck/Co-op City,40.878663,-73.83859100000001,166.0,30.0
199,2017-02-04 04:00:00,Beach 105 St,R418,Rockaway,AS,AS,Manhattan,Rockaway Park,IND,Viaduct,Q,Rockaway/Broad Channel,40.583209,-73.827559,7.0,11.0
205,2017-02-04 04:00:00,Beach 90 St,R416,Rockaway,AS,AS,Manhattan,Rockaway Park,IND,Viaduct,Q,Rockaway/Broad Channel,40.588034,-73.813641,54.0,42.0
206,2017-02-04 04:00:00,Beach 98 St,R417,Rockaway,AS,AS,Manhattan,Rockaway Park,IND,Viaduct,Q,Rockaway/Broad Channel,40.585307,-73.82055799999999,28.0,21.0
209,2017-02-04 04:00:00,Bedford Park Blvd,R156,Concourse,BD,BD,Norwood - 205 St,Manhattan,IND,Subway,Bx,Kingsbridge Heights/Bedford,40.873244,-73.88713800000001,374.0,188.0
212,2017-02-04 04:00:00,Bergen St,R129,6th Av - Culver,FG,FG,Manhattan - Queens,Church Av - Coney Island,IND,Subway,Bk,Fort Greene/Brooklyn Heights,40.686145,-73.99086199999999,131.0,89.0
218,2017-02-04 04:00:00,Botanic Garden,R412,Franklin Shuttle,S2345,S,Franklin Av,Prospect Park,BMT,Open Cut,Bk,South Crown Heights/Lefferts Gardens,40.670343,-73.959245,22.0,55.0
224,2017-02-04 04:00:00,Broad Channel,R415,Rockaway,AS,AS,Manhattan,Rockaways,IND,At Grade,Q,Rockaway/Broad Channel,40.608382,-73.815925,5.0,2.0
225,2017-02-04 04:00:00,Broad St,R125,Jamaica,JZ,JZ,Brooklyn,,BMT,Subway,M,Financial District,40.706476,-74.01105600000001,107.0,55.0
227,2017-02-04 04:00:00,Broadway,R299,Crosstown,G,G,Queens,Church Av,IND,Subway,Bk,Greenpoint/Williamsburg,40.706092,-73.95030799999999,157.0,118.0
229,2017-02-04 04:00:00,Broadway-Lafayette St,R461,6th Av - Culver,BDFQ6,BDFM,Uptown Bronx - Queens,Downtown Brooklyn,IND,Subway,M,Financial District,40.725297,-73.996204,345.0,255.0
230,2017-02-04 04:00:00,Bronx Park East,R389,Lenox - White Plains Rd,25,25,Wakefield - 241 St,Manhattan,IRT,Elevated,Bx,Morrisania/Crotona,40.848828000000005,-73.86845699999999,139.0,35.0
231,2017-02-04 04:00:00,Brook Av,R446,Pelham,6,6,Pelham Bay Park,Manhattan,IRT,Subway,Bx,Hunts Point/Longwood,40.807566,-73.91924,349.0,270.0
234,2017-02-04 04:00:00,Buhre Av,R428,Pelham,6,6,Pelham Bay Park,Manhattan,IRT,Elevated,Bx,Throgs Neck/Co-op City,40.84681,-73.83256899999999,173.0,118.0
235,2017-02-04 04:00:00,Burke Av,R363,Lenox - White Plains Rd,25,25,Wakefield - 241 St,Manhattan,IRT,Elevated,Bx,Morris Park/Bronxdale,40.871356,-73.867164,216.0,56.0
241,2017-02-04 04:00:00,Canal St,R320,Broadway - 7Av,1,1,Uptown Bronx,Downtown,IRT,Subway,M,Financial District,40.722854,-74.006277,73.0,43.0
242,2017-02-04 04:00:00,Canal St,R462,"Broadway, Manhattan Bridge, Jamaica",JNQRZ6,RWNQJZ,Uptown Queens Uptown Queens Brooklyn,Downtown Brooklyn Downtown Brooklyn Broad St,BMT,Subway,M,Financial District,40.718667333333336,-74.00070899999999,111.0,49.0
243,2017-02-04 04:00:00,Canal St,R463,"Broadway, Manhattan Bridge, Jamaica",JNQRZ6,RWNQJZ,Uptown Queens Uptown Queens Brooklyn,Downtown Brooklyn Downtown Brooklyn Broad St,BMT,Subway,M,Financial District,40.718667333333336,-74.00070899999999,164.0,71.0
244,2017-02-04 04:00:00,Canarsie - Rockaway Pkwy,R152,Canarsie,L,L,Manhattan,,BMT,At Grade,Bk,Flatlands/Canarsie,40.646654,-73.90185,670.0,154.0
247,2017-02-04 04:00:00,Cathedral Pkwy,R192,Broadway - 7Av,1,1,Uptown Bronx,Downtown,IRT,Subway,M,Morningside Heights/Hamilton,40.803967,-73.966847,151.0,238.0
248,2017-02-04 04:00:00,Cathedral Pkwy (110 St),R334,8th Av - Fulton St,BC,BC,Uptown Bronx,Downtown Brooklyn,IND,Subway,M,Upper West Side,40.800603,-73.958161,115.0,129.0
249,2017-02-04 04:00:00,Central Av,R401,Myrtle Av,M,M,Manhattan,Metropolitan Av,BMT,Elevated,Bk,Bushwick,40.697857,-73.927397,74.0,97.0
256,2017-02-04 04:00:00,Chauncey St,R432,Jamaica,JZ,JZ,Jamaica,Manhattan,BMT,Elevated,Bk,Bushwick,40.682893,-73.91045600000001,107.0,79.0
259,2017-02-04 04:00:00,Church Av,R109,Nostrand,25,25,Manhattan,Flatbush,IRT,Subway,Bk,South Crown Heights/Lefferts Gardens,40.650843,-73.949575,425.0,58.0
263,2017-02-04 04:00:00,Cleveland St,R435,Jamaica,J,J,Jamaica,Manhattan,BMT,Elevated,Bk,East New York/Starrett City,40.679947,-73.884639,214.0,92.0
265,2017-02-04 04:00:00,Clinton - Washington Avs,R317,Crosstown,G,G,Queens,Church Av,IND,Subway,Bk,Fort Greene/Brooklyn Heights,40.688089,-73.96683900000001,36.0,14.0
266,2017-02-04 04:00:00,Coney Island - Stillwell Av,R151,Sea Beach / West End / Culver / Brighton,DFNQ,DFNQ,Manhattan,,BMT,Viaduct,Bk,Coney Island,40.577422,-73.98123299999999,514.0,427.0
268,2017-02-04 04:00:00,Cortlandt St,R088,Broadway,R,RW,Uptown Queens,Downtown Brooklyn,BMT,Subway,M,Financial District,40.710668,-74.01102900000001,150.0,163.0
272,2017-02-04 04:00:00,Crescent St,R437,Jamaica,JZ,JZ,Jamaica,Manhattan,BMT,Elevated,Bk,East New York/Starrett City,40.683194,-73.873785,360.0,168.0
274,2017-02-04 04:00:00,Cypress Av,R447,Pelham,6,6,Pelham Bay Park,Manhattan,IRT,Subway,Bx,Hunts Point/Longwood,40.805368,-73.91404200000001,204.0,165.0
278,2017-02-04 04:00:00,Delancey St,R142,6th Av - Culver,FJMZ,F,Uptown Queens,Downtown Brooklyn,IND,Subway,M,Lower East Side/Chinatown,40.718611,-73.988114,861.0,287.0
279,2017-02-04 04:00:00,Ditmas Av,R420,6th Av - Culver,F,F,Manhattan,Coney Island,IND,Elevated,Bk,Borough Park,40.636119,-73.978172,5.0,8.0
281,2017-02-04 04:00:00,Dyckman St,R185,8th Av - Fulton St,A,A,207 St,Downtown Brooklyn,IND,Subway,M,Washington Heights/Inwood,40.865491,-73.92727099999999,212.0,11.0
282,2017-02-04 04:00:00,E 105 St,R376,Canarsie,L,L,Manhattan,Canarsie - Rockaway Parkway,BMT,At Grade,Bk,East New York/Starrett City,40.650573,-73.899485,191.0,168.0
283,2017-02-04 04:00:00,E 143 St - St Mary's St,R448,Pelham,6,6,Pelham Bay Park,Manhattan,IRT,Subway,Bx,Hunts Point/Longwood,40.808719,-73.907657,31.0,69.0
284,2017-02-04 04:00:00,E 149 St,R449,Pelham,6,6,Pelham Bay Park,Manhattan,IRT,Subway,Bx,Hunts Point/Longwood,40.812118,-73.904098,276.0,229.0
285,2017-02-04 04:00:00,E 180 St,R388,Lenox - White Plains Rd,25,25,Wakefield - Eastchester,Manhattan,IRT,Elevated,Bx,Morrisania/Crotona,40.841894,-73.873488,484.0,272.0
287,2017-02-04 04:00:00,Eastchester - Dyre Av,R431,Dyre Av,5,5,,Manhattan,IRT,At Grade,Bx,Williamsbridge/Baychester,40.8883,-73.830834,148.0,128.0
289,2017-02-04 04:00:00,Elder Av,R162,Pelham,6,6,Pelham Bay Park,Manhattan,IRT,Elevated,Bx,Parkchester/Soundview,40.828584,-73.879159,555.0,334.0
291,2017-02-04 04:00:00,Essex St,R142,Jamaica,FJMZ,JMZ,Brooklyn,Broad St (JZ) - Uptown (M),BMT,Subway,M,Lower East Side/Chinatown,40.718315,-73.987437,295.0,180.0
294,2017-02-04 04:00:00,Flatbush Av - Brooklyn College,R110,Nostrand,25,25,Manhattan,,IRT,Subway,Bk,Flatbush/Midwood,40.632836,-73.947642,734.0,305.0
296,2017-02-04 04:00:00,Flushing Av,R316,Crosstown,G,G,Queens,Church Av,IND,Subway,Bk,Bedford Stuyvesant,40.700377,-73.950234,71.0,100.0
297,2017-02-04 04:00:00,Flushing Av,R377,Jamaica,JM,JM,Jamaica - Middle Village,Manhattan,BMT,Elevated,Bk,Bushwick,40.70026,-73.941126,171.0,126.0
300,2017-02-04 04:00:00,Forest Av,R403,Myrtle Av,M,M,Manhattan,Metropolitan Av,BMT,Elevated,Q,Ridgewood/Maspeth,40.704423,-73.903077,157.0,106.0
301,2017-02-04 04:00:00,Forest Hills - 71 Av,R141,Queens Blvd,EFMR,EFMR,Jamaica,Manhattan,IND,Subway,Q,Rego Park/Forest Hills,40.721691,-73.844521,652.0,358.0
302,2017-02-04 04:00:00,Fort Hamilton Pkwy,R289,6th Av - Culver,FG,FG,Manhattan - Queens,Church Av - Coney Island,IND,Subway,Bk,Sunset Park,40.650782,-73.975776,53.0,40.0
303,2017-02-04 04:00:00,Fort Hamilton Pkwy,R369,West End,D,D,Manhattan,Coney Island,BMT,Elevated,Bk,Sunset Park,40.640914,-73.994304,135.0,72.0
304,2017-02-04 04:00:00,Franklin Av,R297,8th Av - Fulton St,ACS,C,Manhattan,Euclid Av,IND,Subway,Bk,Fort Greene/Brooklyn Heights,40.68138,-73.956848,169.0,242.0
305,2017-02-04 04:00:00,Franklin St,R343,Broadway - 7Av,1,1,Uptown Bronx,Downtown,IRT,Subway,M,Financial District,40.719318,-74.006886,67.0,18.0
306,2017-02-04 04:00:00,Freeman St,R409,Lenox - White Plains Rd,25,25,Wakefield - Eastchester,Manhattan,IRT,Elevated,Bx,Morrisania/Crotona,40.829993,-73.891865,279.0,198.0
307,2017-02-04 04:00:00,Fresh Pond Rd,R404,Myrtle Av,M,M,Manhattan,Metropolitan Av,BMT,Elevated,Q,Ridgewood/Maspeth,40.706186,-73.895877,219.0,167.0
308,2017-02-04 04:00:00,Fulton St,R014,8th Av - Fulton St,ACJZ2345,AC,Uptown,Brooklyn,IND,Subway,M,Financial District,40.710197,-74.00769100000001,436.0,221.0
309,2017-02-04 04:00:00,Fulton St,R014,"Clark St, Lexington Av",2345ACJZ,2345,Uptown Bronx Uptown Bronx,Downtown Brooklyn Downtown Brooklyn,IRT,Subway,M,Financial District,40.709892,-74.00804,21.0,19.0
310,2017-02-04 04:00:00,Fulton St,R028,"Clark St, Lexington Av",2345ACJZ,2345,Uptown Bronx Uptown Bronx,Downtown Brooklyn Downtown Brooklyn,IRT,Subway,M,Financial District,40.709892,-74.00804,26.0,68.0
311,2017-02-04 04:00:00,Fulton St,R028,Jamaica,ACJZ2345,JZ,Brooklyn,Broad St,BMT,Subway,M,Financial District,40.710374,-74.007582,28.0,118.0
313,2017-02-04 04:00:00,Gates Av,R380,Jamaica,JZ,JZ,Jamaica,Manhattan,BMT,Elevated,Bk,Bushwick,40.68963,-73.92227,204.0,125.0
317,2017-02-04 04:00:00,Grand Central - 42 St,R045,"Lexington Av, Flushing, Lexington - Shuttle",4567S,4567S,Uptown Bronx Queens Times Sq,Downtown Brooklyn 34 St - Hudson Yards,IRT,Subway,M,Stuyvesant Town/Turtle Bay,40.751992,-73.97735933333335,40.0,144.0
319,2017-02-04 04:00:00,Grand Central - 42 St,R047,"Lexington Av, Flushing, Lexington - Shuttle",4567S,4567S,Uptown Bronx Queens Times Sq,Downtown Brooklyn 34 St - Hudson Yards,IRT,Subway,M,Stuyvesant Town/Turtle Bay,40.751992,-73.97735933333335,410.0,531.0
320,2017-02-04 04:00:00,Grand Central - 42 St,R048,"Lexington Av, Flushing, Lexington - Shuttle",4567S,4567S,Uptown Bronx Queens Times Sq,Downtown Brooklyn 34 St - Hudson Yards,IRT,Subway,M,Stuyvesant Town/Turtle Bay,40.751992,-73.97735933333335,209.0,164.0
326,2017-02-04 04:00:00,Gun Hill Rd,R364,Lenox - White Plains Rd,25,25,Wakefield - 241 St,Manhattan,IRT,Elevated,Bx,Williamsbridge/Baychester,40.87785,-73.866256,451.0,343.0
328,2017-02-04 04:00:00,Halsey St,R381,Jamaica,J,J,Jamaica,Manhattan,BMT,Elevated,Bk,Bushwick,40.68637,-73.91655899999999,231.0,145.0
