train_code,station_code,line,scheduled_departure,actual_departure,delay_min,status,occupancy_pct
TR-R08,ST03,Red,2026-08-07 08:00:00,2026-08-07 08:00:00,0,on_time,51.3
TR-R08,ST03,Red,2026-08-08 05:45:00,2026-08-08 05:52:00,7,delayed,68.2
TR-R08,ST03,Red,2026-08-09 07:30:00,2026-08-09 07:33:00,3,minor_delay,47.0
TR-R08,ST03,Red,2026-08-10 05:00:00,2026-08-10 05:03:00,3,minor_delay,52.0
TR-R08,ST03,Red,2026-08-11 08:45:00,2026-08-11 08:48:00,3,minor_delay,75.0
TR-R08,ST03,Red,2026-08-12 07:00:00,2026-08-12 07:01:00,1,on_time,90.5
TR-R08,ST03,Red,2026-08-13 09:00:00,2026-08-13 09:03:00,3,minor_delay,42.4
TR-R08,ST03,Red,2026-08-14 09:15:00,2026-08-14 09:18:00,3,minor_delay,70.4
TR-R08,ST03,Red,2026-08-15 07:00:00,2026-08-15 07:03:00,3,minor_delay,66.9
TR-R08,ST03,Red,2026-08-16 07:00:00,2026-08-16 07:07:00,7,delayed,33.2
TR-R08,ST03,Red,2026-08-17 08:30:00,2026-08-17 08:31:00,1,on_time,73.3
TR-R08,ST03,Red,2026-08-18 09:15:00,2026-08-18 09:21:00,6,minor_delay,67.5
TR-R08,ST03,Red,2026-08-19 08:45:00,2026-08-19 08:49:00,4,minor_delay,84.4
TR-R08,ST03,Red,2026-08-20 09:15:00,2026-08-20 09:26:00,11,delayed,65.7
TR-R09,ST03,Red,2026-08-07 05:00:00,2026-08-07 05:03:00,3,minor_delay,53.4
TR-R09,ST03,Red,2026-08-08 09:00:00,2026-08-08 09:05:00,5,minor_delay,78.2
TR-R09,ST03,Red,2026-08-09 06:45:00,2026-08-09 06:47:00,2,on_time,105.1
TR-R09,ST03,Red,2026-08-10 08:00:00,2026-08-10 08:08:00,8,delayed,58.3
TR-R09,ST03,Red,2026-08-11 06:15:00,2026-08-11 06:20:00,5,minor_delay,38.4
TR-R09,ST03,Red,2026-08-12 07:45:00,2026-08-12 07:46:00,1,on_time,81.4
TR-R09,ST03,Red,2026-08-13 05:45:00,2026-08-13 05:57:00,12,delayed,60.0
TR-R09,ST03,Red,2026-08-14 08:45:00,2026-08-14 08:53:00,8,delayed,73.8
TR-R09,ST03,Red,2026-08-15 06:15:00,2026-08-15 06:18:00,3,minor_delay,69.3
TR-R09,ST03,Red,2026-08-16 05:15:00,2026-08-16 05:19:00,4,minor_delay,64.3
TR-R09,ST03,Red,2026-08-17 06:15:00,2026-08-17 06:19:00,4,minor_delay,75.4
TR-R09,ST03,Red,2026-08-18 09:00:00,2026-08-18 09:01:00,1,on_time,72.8
TR-R09,ST03,Red,2026-08-19 05:45:00,2026-08-19 05:45:00,0,on_time,49.8
TR-R09,ST03,Red,2026-08-20 05:30:00,2026-08-20 05:33:00,3,minor_delay,74.4
TR-B10,ST04,Blue,2026-08-07 09:15:00,2026-08-07 09:20:00,5,minor_delay,82.3
TR-B10,ST04,Blue,2026-08-08 09:15:00,2026-08-08 09:17:00,2,on_time,57.7
TR-B10,ST04,Blue,2026-08-09 08:15:00,2026-08-09 08:17:00,2,on_time,56.9
TR-B10,ST04,Blue,2026-08-10 09:15:00,2026-08-10 09:17:00,2,on_time,82.4
TR-B10,ST04,Blue,2026-08-11 07:30:00,2026-08-11 07:32:00,2,on_time,87.9
TR-B10,ST04,Blue,2026-08-12 05:30:00,2026-08-12 05:33:00,3,minor_delay,81.2
TR-B10,ST04,Blue,2026-08-13 05:00:00,2026-08-13 05:01:00,1,on_time,63.4
TR-B10,ST04,Blue,2026-08-14 07:15:00,2026-08-14 07:17:00,2,on_time,54.2
TR-B10,ST04,Blue,2026-08-15 05:30:00,2026-08-15 05:31:00,1,on_time,57.7
TR-B10,ST04,Blue,2026-08-16 06:15:00,2026-08-16 06:18:00,3,minor_delay,88.5
TR-B10,ST04,Blue,2026-08-17 09:15:00,2026-08-17 09:16:00,1,on_time,68.7
TR-B10,ST04,Blue,2026-08-18 06:45:00,2026-08-18 06:47:00,2,on_time,62.0
TR-B10,ST04,Blue,2026-08-19 06:30:00,2026-08-19 06:37:00,7,delayed,67.5
TR-B10,ST04,Blue,2026-08-20 08:15:00,2026-08-20 08:19:00,4,minor_delay,75.4
TR-B11,ST04,Blue,2026-08-07 07:15:00,2026-08-07 07:21:00,6,minor_delay,67.0
TR-B11,ST04,Blue,2026-08-08 06:45:00,2026-08-08 06:51:00,6,minor_delay,76.2
TR-B11,ST04,Blue,2026-08-09 09:00:00,2026-08-09 09:02:00,2,on_time,66.0
TR-B11,ST04,Blue,2026-08-10 08:15:00,2026-08-10 08:18:00,3,minor_delay,64.2
TR-B11,ST04,Blue,2026-08-11 08:45:00,2026-08-11 08:52:00,7,delayed,61.7
TR-B11,ST04,Blue,2026-08-12 09:00:00,2026-08-12 09:06:00,6,minor_delay,56.5
TR-B11,ST04,Blue,2026-08-13 08:45:00,2026-08-13 08:49:00,4,minor_delay,74.6
TR-B11,ST04,Blue,2026-08-14 08:30:00,2026-08-14 08:42:00,12,delayed,62.3
TR-B11,ST04,Blue,2026-08-15 08:15:00,2026-08-15 08:21:00,6,minor_delay,38.7
TR-B11,ST04,Blue,2026-08-16 05:15:00,2026-08-16 05:15:00,0,on_time,84.8
TR-B11,ST04,Blue,2026-08-17 05:45:00,2026-08-17 05:47:00,2,on_time,81.1
TR-B11,ST04,Blue,2026-08-18 07:30:00,2026-08-18 07:35:00,5,minor_delay,92.8
TR-B11,ST04,Blue,2026-08-19 05:30:00,2026-08-19 05:35:00,5,minor_delay,107.7
TR-B11,ST04,Blue,2026-08-20 05:00:00,2026-08-20 05:00:00,0,on_time,66.8
TR-B12,ST04,Blue,2026-08-07 09:15:00,2026-08-07 09:25:00,10,delayed,60.7
TR-B12,ST04,Blue,2026-08-08 06:45:00,2026-08-08 06:45:00,0,on_time,48.4
TR-B12,ST04,Blue,2026-08-09 07:00:00,2026-08-09 07:04:00,4,minor_delay,71.6
TR-B12,ST04,Blue,2026-08-10 07:00:00,2026-08-10 07:04:00,4,minor_delay,52.6
TR-B12,ST04,Blue,2026-08-11 05:45:00,2026-08-11 05:46:00,1,on_time,55.1
TR-B12,ST04,Blue,2026-08-12 09:00:00,2026-08-12 09:08:00,8,delayed,76.9
TR-B12,ST04,Blue,2026-08-13 05:45:00,2026-08-13 05:45:00,0,on_time,49.0
TR-B12,ST04,Blue,2026-08-14 07:45:00,2026-08-14 07:55:00,10,delayed,87.1
TR-B12,ST04,Blue,2026-08-15 08:00:00,2026-08-15 08:01:00,1,on_time,40.4
TR-B12,ST04,Blue,2026-08-16 08:00:00,2026-08-16 08:00:00,0,on_time,69.5
TR-B12,ST04,Blue,2026-08-17 06:15:00,2026-08-17 06:15:00,0,on_time,95.2
TR-B12,ST04,Blue,2026-08-18 06:15:00,2026-08-18 06:16:00,1,on_time,73.9
TR-B12,ST04,Blue,2026-08-19 05:00:00,2026-08-19 05:03:00,3,minor_delay,57.9
TR-B12,ST04,Blue,2026-08-20 07:00:00,2026-08-20 07:01:00,1,on_time,79.3
TR-B13,ST05,Blue,2026-08-07 09:15:00,2026-08-07 09:21:00,6,minor_delay,69.4
TR-B13,ST05,Blue,2026-08-08 05:30:00,2026-08-08 05:30:00,0,on_time,86.4
TR-B13,ST05,Blue,2026-08-09 05:00:00,2026-08-09 05:04:00,4,minor_delay,86.2
TR-B13,ST05,Blue,2026-08-10 06:15:00,2026-08-10 06:21:00,6,minor_delay,43.5
TR-B13,ST05,Blue,2026-08-11 07:45:00,2026-08-11 07:46:00,1,on_time,49.0
TR-B13,ST05,Blue,2026-08-12 09:00:00,2026-08-12 09:06:00,6,minor_delay,45.2
TR-B13,ST05,Blue,2026-08-13 05:15:00,2026-08-13 05:23:00,8,delayed,91.3
TR-B13,ST05,Blue,2026-08-14 05:15:00,2026-08-14 05:15:00,0,on_time,82.0
TR-B13,ST05,Blue,2026-08-15 05:15:00,2026-08-15 05:16:00,1,on_time,43.6
TR-B13,ST05,Blue,2026-08-16 06:45:00,2026-08-16 06:45:00,0,on_time,49.4
TR-B13,ST05,Blue,2026-08-17 08:45:00,2026-08-17 08:45:00,0,on_time,88.9
TR-B13,ST05,Blue,2026-08-18 06:45:00,2026-08-18 06:45:00,0,on_time,56.1
TR-B13,ST05,Blue,2026-08-19 05:45:00,2026-08-19 05:45:00,0,on_time,75.8
TR-B13,ST05,Blue,2026-08-20 05:45:00,2026-08-20 05:45:00,0,on_time,72.7
TR-B14,ST05,Blue,2026-08-07 06:30:00,2026-08-07 06:30:00,0,on_time,91.8
TR-B14,ST05,Blue,2026-08-08 08:45:00,2026-08-08 08:48:00,3,minor_delay,39.6
TR-B14,ST05,Blue,2026-08-09 08:30:00,2026-08-09 08:31:00,1,on_time,44.5
TR-B14,ST05,Blue,2026-08-10 07:30:00,2026-08-10 07:32:00,2,on_time,50.9
TR-B14,ST05,Blue,2026-08-11 07:00:00,2026-08-11 07:05:00,5,minor_delay,102.2
TR-B14,ST05,Blue,2026-08-12 09:15:00,2026-08-12 09:15:00,0,on_time,54.3
TR-B14,ST05,Blue,2026-08-13 05:00:00,2026-08-13 05:04:00,4,minor_delay,73.3
TR-B14,ST05,Blue,2026-08-14 07:15:00,2026-08-14 07:18:00,3,minor_delay,38.1
TR-B14,ST05,Blue,2026-08-15 05:30:00,2026-08-15 05:34:00,4,minor_delay,52.2
TR-B14,ST05,Blue,2026-08-16 06:45:00,2026-08-16 06:45:00,0,on_time,65.9
TR-B14,ST05,Blue,2026-08-17 08:30:00,2026-08-17 08:36:00,6,minor_delay,56.5
TR-B14,ST05,Blue,2026-08-18 08:45:00,2026-08-18 08:53:00,8,delayed,59.9
TR-B14,ST05,Blue,2026-08-19 05:15:00,2026-08-19 05:17:00,2,on_time,56.6
TR-B14,ST05,Blue,2026-08-20 05:30:00,2026-08-20 05:30:00,0,on_time,48.6
TR-B15,ST05,Blue,2026-08-07 05:45:00,2026-08-07 05:45:00,0,on_time,69.0
TR-B15,ST05,Blue,2026-08-08 06:00:00,2026-08-08 06:03:00,3,minor_delay,67.8
TR-B15,ST05,Blue,2026-08-09 07:30:00,2026-08-09 07:33:00,3,minor_delay,85.8
TR-B15,ST05,Blue,2026-08-10 05:30:00,2026-08-10 05:30:00,0,on_time,104.7
TR-B15,ST05,Blue,2026-08-11 05:45:00,2026-08-11 05:45:00,0,on_time,81.4
TR-B15,ST05,Blue,2026-08-12 06:00:00,2026-08-12 06:01:00,1,on_time,31.9
TR-B15,ST05,Blue,2026-08-13 07:00:00,2026-08-13 07:08:00,8,delayed,78.8
TR-B15,ST05,Blue,2026-08-14 07:00:00,2026-08-14 07:03:00,3,minor_delay,34.8
TR-B15,ST05,Blue,2026-08-15 07:45:00,2026-08-15 07:45:00,0,on_time,61.9
TR-B15,ST05,Blue,2026-08-16 05:30:00,2026-08-16 05:33:00,3,minor_delay,94.0
TR-B15,ST05,Blue,2026-08-17 08:15:00,2026-08-17 08:19:00,4,minor_delay,73.6
TR-B15,ST05,Blue,2026-08-18 09:15:00,2026-08-18 09:15:00,0,on_time,98.2
TR-B15,ST05,Blue,2026-08-19 06:15:00,2026-08-19 06:15:00,0,on_time,102.0
TR-B15,ST05,Blue,2026-08-20 09:00:00,2026-08-20 09:06:00,6,minor_delay,42.2
TR-B16,ST06,Blue,2026-08-07 06:45:00,2026-08-07 06:45:00,0,on_time,50.8
TR-B16,ST06,Blue,2026-08-08 06:30:00,2026-08-08 06:31:00,1,on_time,108.8
TR-B16,ST06,Blue,2026-08-09 05:00:00,2026-08-09 05:01:00,1,on_time,73.1
TR-B16,ST06,Blue,2026-08-10 09:15:00,2026-08-10 09:18:00,3,minor_delay,44.3
TR-B16,ST06,Blue,2026-08-11 05:15:00,2026-08-11 05:20:00,5,minor_delay,38.9
TR-B16,ST06,Blue,2026-08-12 05:45:00,2026-08-12 05:51:00,6,minor_delay,99.1
TR-B16,ST06,Blue,2026-08-13 05:30:00,2026-08-13 05:30:00,0,on_time,45.1
TR-B16,ST06,Blue,2026-08-14 07:30:00,2026-08-14 07:35:00,5,minor_delay,55.6
TR-B16,ST06,Blue,2026-08-15 06:45:00,2026-08-15 06:47:00,2,on_time,65.5
TR-B16,ST06,Blue,2026-08-16 06:30:00,2026-08-16 06:32:00,2,on_time,67.7
TR-B16,ST06,Blue,2026-08-17 06:30:00,2026-08-17 06:31:00,1,on_time,90.4
TR-B16,ST06,Blue,2026-08-18 08:15:00,2026-08-18 08:17:00,2,on_time,62.9
TR-B16,ST06,Blue,2026-08-19 07:30:00,2026-08-19 07:33:00,3,minor_delay,54.6
TR-B16,ST06,Blue,2026-08-20 06:30:00,2026-08-20 06:32:00,2,on_time,97.4
TR-B17,ST06,Blue,2026-08-07 08:30:00,2026-08-07 08:32:00,2,on_time,83.1
TR-B17,ST06,Blue,2026-08-08 06:45:00,2026-08-08 06:52:00,7,delayed,85.5
TR-B17,ST06,Blue,2026-08-09 06:00:00,2026-08-09 06:04:00,4,minor_delay,74.4
TR-B17,ST06,Blue,2026-08-10 08:45:00,2026-08-10 08:53:00,8,delayed,85.0
TR-B17,ST06,Blue,2026-08-11 06:15:00,2026-08-11 06:17:00,2,on_time,53.4
TR-B17,ST06,Blue,2026-08-12 05:45:00,2026-08-12 05:47:00,2,on_time,60.7
TR-B17,ST06,Blue,2026-08-13 09:00:00,2026-08-13 09:08:00,8,delayed,67.8
TR-B17,ST06,Blue,2026-08-14 09:15:00,2026-08-14 09:24:00,9,delayed,70.1
TR-B17,ST06,Blue,2026-08-15 06:45:00,2026-08-15 06:46:00,1,on_time,78.7
TR-B17,ST06,Blue,2026-08-16 05:15:00,2026-08-16 05:20:00,5,minor_delay,69.9
TR-B17,ST06,Blue,2026-08-17 08:00:00,2026-08-17 08:06:00,6,minor_delay,78.8
TR-B17,ST06,Blue,2026-08-18 07:45:00,2026-08-18 07:59:00,14,delayed,97.3
TR-B17,ST06,Blue,2026-08-19 08:45:00,2026-08-19 08:50:00,5,minor_delay,67.7
TR-B17,ST06,Blue,2026-08-20 05:30:00,2026-08-20 05:36:00,6,minor_delay,53.3
TR-B18,ST06,Blue,2026-08-07 06:45:00,2026-08-07 06:48:00,3,minor_delay,56.1
TR-B18,ST06,Blue,2026-08-08 08:45:00,2026-08-08 08:48:00,3,minor_delay,86.8
TR-B18,ST06,Blue,2026-08-09 05:45:00,2026-08-09 05:47:00,2,on_time,35.7
TR-B18,ST06,Blue,2026-08-10 07:15:00,2026-08-10 07:16:00,1,on_time,69.0
TR-B18,ST06,Blue,2026-08-11 09:15:00,2026-08-11 09:20:00,5,minor_delay,67.4
TR-B18,ST06,Blue,2026-08-12 06:30:00,2026-08-12 06:34:00,4,minor_delay,78.2
TR-B18,ST06,Blue,2026-08-13 05:15:00,2026-08-13 05:21:00,6,minor_delay,24.5
TR-B18,ST06,Blue,2026-08-14 07:45:00,2026-08-14 07:45:00,0,on_time,67.5
TR-B18,ST06,Blue,2026-08-15 05:30:00,2026-08-15 05:32:00,2,on_time,52.5
TR-B18,ST06,Blue,2026-08-16 06:15:00,2026-08-16 06:20:00,5,minor_delay,54.4
TR-B18,ST06,Blue,2026-08-17 06:15:00,2026-08-17 06:15:00,0,on_time,38.5
TR-B18,ST06,Blue,2026-08-18 08:00:00,2026-08-18 08:04:00,4,minor_delay,48.9
TR-B18,ST06,Blue,2026-08-19 06:45:00,2026-08-19 06:47:00,2,on_time,84.5
TR-B18,ST06,Blue,2026-08-20 05:15:00,2026-08-20 05:15:00,0,on_time,51.7
TR-G19,ST07,Green,2026-08-07 08:45:00,2026-08-07 08:51:00,6,minor_delay,44.6
TR-G19,ST07,Green,2026-08-08 08:45:00,2026-08-08 08:47:00,2,on_time,86.5
TR-G19,ST07,Green,2026-08-09 09:00:00,2026-08-09 09:00:00,0,on_time,57.7
TR-G19,ST07,Green,2026-08-10 05:45:00,2026-08-10 05:45:00,0,on_time,26.7
TR-G19,ST07,Green,2026-08-11 08:00:00,2026-08-11 08:03:00,3,minor_delay,65.7
TR-G19,ST07,Green,2026-08-12 08:15:00,2026-08-12 08:17:00,2,on_time,77.9
TR-G19,ST07,Green,2026-08-13 05:45:00,2026-08-13 05:50:00,5,minor_delay,53.7
TR-G19,ST07,Green,2026-08-14 06:15:00,2026-08-14 06:15:00,0,on_time,85.6
TR-G19,ST07,Green,2026-08-15 07:00:00,2026-08-15 07:10:00,10,delayed,60.1
TR-G19,ST07,Green,2026-08-16 09:00:00,2026-08-16 09:00:00,0,on_time,79.9
TR-G19,ST07,Green,2026-08-17 05:30:00,2026-08-17 05:33:00,3,minor_delay,70.7
TR-G19,ST07,Green,2026-08-18 05:45:00,2026-08-18 05:48:00,3,minor_delay,52.5
TR-G19,ST07,Green,2026-08-19 07:00:00,2026-08-19 07:09:00,9,delayed,72.8
TR-G19,ST07,Green,2026-08-20 08:30:00,2026-08-20 08:34:00,4,minor_delay,53.3
TR-G20,ST07,Green,2026-08-07 07:00:00,2026-08-07 07:12:00,12,delayed,68.3
TR-G20,ST07,Green,2026-08-08 09:15:00,2026-08-08 09:19:00,4,minor_delay,71.2
TR-G20,ST07,Green,2026-08-09 08:45:00,2026-08-09 08:57:00,12,delayed,76.9
TR-G20,ST07,Green,2026-08-10 05:30:00,2026-08-10 05:31:00,1,on_time,64.5
TR-G20,ST07,Green,2026-08-11 08:45:00,2026-08-11 08:54:00,9,delayed,91.2
TR-G20,ST07,Green,2026-08-12 09:00:00,2026-08-12 09:06:00,6,minor_delay,37.8
TR-G20,ST07,Green,2026-08-13 06:45:00,2026-08-13 06:45:00,0,on_time,61.1
TR-G20,ST07,Green,2026-08-14 07:45:00,2026-08-14 07:45:00,0,on_time,54.1
TR-G20,ST07,Green,2026-08-15 07:45:00,2026-08-15 07:46:00,1,on_time,50.4
TR-G20,ST07,Green,2026-08-16 08:30:00,2026-08-16 08:39:00,9,delayed,70.7
TR-G20,ST07,Green,2026-08-17 08:15:00,2026-08-17 08:20:00,5,minor_delay,55.3
