Date,Hour,Station,DelayMinutes
2022-01-05,20,Banqiao,4.1
2022-01-05,20,Dongmen,5.5
2022-01-05,20,Songshan Airport,11.2
2022-01-05,20,Qizhang,3.3
2022-01-05,20,Nangang Exhibition Center,10.2
2022-01-05,21,Nanjing Fuxing,14.2
2022-01-05,21,Wanlong,5.0
2022-01-05,22,Nangang Exhibition Center,12.6
2022-01-05,23,Taipei Main Station,1.7
2022-01-05,23,Songshan Airport,10.4
2022-01-05,23,Beitou,6.0
2022-01-05,23,Qizhang,2.3
2022-01-06,2,Nanjing Fuxing,5.4
2022-01-06,2,Yongning,5.2
2022-01-06,2,Songshan Airport,4.7
2022-01-06,3,Xiaobitan,1.4
2022-01-06,4,Gongguan,6.7
2022-01-06,5,Gongguan,2.6
2022-01-06,5,Zhishan,3.1
2022-01-06,6,Xindian District Office,4.8
2022-01-06,7,Da'an,5.9
2022-01-06,7,Jiantan,10.9
2022-01-06,7,Qizhang,10.2
2022-01-06,8,Taipei City Hall,5.6
2022-01-06,8,Nangang,8.4
2022-01-06,8,Xindian,4.8
2022-01-06,8,Beitou,8.9
2022-01-06,8,Daqiaotou,13.3
2022-01-06,8,Qizhang,8.8
2022-01-06,8,Xindian District Office,5.9
2022-01-06,9,Zhongxiao Fuxing,4.7
2022-01-06,9,Xindian,16.3
2022-01-06,9,Daqiaotou,5.9
2022-01-06,9,Wanlong,14.3
2022-01-06,9,Nangang Exhibition Center,7.9
2022-01-06,10,Guting,1.2
2022-01-06,10,Nangang,4.3
2022-01-06,10,Songshan Airport,13.9
2022-01-06,10,Jiantan,7.8
2022-01-06,11,Zhongxiao Fuxing,9.1
2022-01-06,11,Gongguan,4.2
2022-01-06,12,Zhongxiao Fuxing,3.2
2022-01-06,12,Nanjing Fuxing,1.4
2022-01-06,12,Guting,2.9
2022-01-06,12,Jiantan,17.1
2022-01-06,12,Tamsui,3.8
2022-01-06,12,Xiaobitan,0.9
2022-01-06,12,Yuanshan,4.5
2022-01-06,13,Guting,3.7
2022-01-06,13,Da'an,8.9
2022-01-06,13,Nangang,13.2
2022-01-06,13,Xiaobitan,10.8
2022-01-06,13,Daqiaotou,11.9
2022-01-06,14,Da'an,10.5
2022-01-06,14,Gongguan,1.6
2022-01-06,14,Xiaobitan,3.9
2022-01-06,15,Nanjing Fuxing,5.3
2022-01-06,15,Guting,4.4
2022-01-06,15,Xiaobitan,8.7
2022-01-06,15,Yuanshan,7.3
2022-01-06,15,Jingmei,9.7
2022-01-06,16,Nangang,5.7
2022-01-06,16,Tamsui,12.2
2022-01-06,17,Zhongxiao Fuxing,7.7
2022-01-06,17,Ximen,10.1
2022-01-06,17,Nanjing Fuxing,2.9
2022-01-06,17,Dongmen,22.6
2022-01-06,17,Zhongshan,14.1
2022-01-06,17,Yongning,4.8
2022-01-06,17,Jiantan,10.0
2022-01-06,18,Taipei City Hall,2.6
2022-01-06,18,Nanjing Fuxing,8.5
2022-01-06,18,Guting,6.3
2022-01-06,18,Yongning,5.7
2022-01-06,18,Jiantan,18.1
2022-01-06,18,Xindian,2.9
2022-01-06,18,Xiaobitan,2.5
2022-01-06,19,Banqiao,10.7
2022-01-06,19,Guting,7.8
2022-01-06,19,Da'an,13.3
2022-01-06,19,Zhongshan,22.0
2022-01-06,19,Shilin,7.9
2022-01-06,19,Jiantan,20.3
2022-01-06,19,Muzha,4.7
2022-01-06,19,Xiaobitan,13.7
2022-01-06,20,Dongmen,4.0
2022-01-06,20,Da'an,4.1
2022-01-06,20,Yongning,7.4
2022-01-06,21,Ximen,5.5
2022-01-06,21,Dongmen,6.2
2022-01-06,21,Jiantan,12.9
2022-01-06,21,Wanlong,2.3
2022-01-07,3,Taipei City Hall,4.9
2022-01-07,5,Zhishan,5.9
2022-01-07,5,Xindian District Office,1.4
2022-01-07,6,Zhongshan,4.1
2022-01-07,7,Banqiao,1.9
2022-01-07,7,Zhishan,6.0
2022-01-07,7,Qizhang,17.5
2022-01-07,8,Nanjing Fuxing,4.4
2022-01-07,8,Zhongshan,15.5
2022-01-07,8,Gongguan,6.3
2022-01-07,8,Tamsui,14.7
2022-01-07,9,Guting,7.0
2022-01-07,9,Shilin,4.5
2022-01-07,9,Xiaobitan,7.6
2022-01-07,10,Zhongxiao Fuxing,11.6
2022-01-07,10,Da'an,3.4
2022-01-07,10,Jiantan,5.4
2022-01-07,10,Beitou,2.1
2022-01-07,10,Nangang Exhibition Center,4.6
2022-01-07,11,Taipei Main Station,3.6
2022-01-07,11,Nanjing Fuxing,5.4
2022-01-07,11,Wanlong,13.5
2022-01-07,11,Qizhang,9.1
2022-01-07,12,Tamsui,0.7
2022-01-07,13,Nanjing Fuxing,1.4
2022-01-07,13,Qizhang,2.9
2022-01-07,14,Da'an,3.3
2022-01-07,14,Yongning,7.0
2022-01-07,15,Nanjing Fuxing,16.2
2022-01-07,15,Yongning,5.2
2022-01-07,16,Songshan Airport,3.5
2022-01-07,16,Zhishan,12.2
2022-01-07,16,Jingmei,5.3
2022-01-07,17,Ximen,11.9
2022-01-07,17,Tamsui,6.0
2022-01-07,17,Wanlong,5.7
2022-01-07,18,Taipei City Hall,2.8
2022-01-07,18,Nanjing Fuxing,7.7
2022-01-07,18,Zhongshan,10.0
2022-01-07,18,Yongning,12.5
2022-01-07,18,Jiantan,7.2
2022-01-07,18,Xindian,9.7
2022-01-07,18,Muzha,11.0
2022-01-07,18,Daqiaotou,6.1
2022-01-07,19,Zhongxiao Fuxing,3.4
2022-01-07,19,Ximen,26.3
2022-01-07,19,Gongguan,14.8
2022-01-07,19,Wanlong,17.8
2022-01-07,19,Jingmei,4.7
2022-01-07,19,Qizhang,15.2
2022-01-07,20,Da'an,7.0
2022-01-07,20,Shilin,6.2
2022-01-07,20,Tamsui,11.7
2022-01-07,20,Xiaobitan,14.0
2022-01-07,20,Daqiaotou,5.8
2022-01-07,21,Xindian District Office,0.9
2022-01-07,22,Zhongshan,1.1
2022-01-07,23,Zhongshan,0.8
2022-01-08,0,Taipei Main Station,6.1
2022-01-08,0,Beitou,5.2
2022-01-08,1,Zhongshan,1.5
2022-01-08,1,Tamsui,2.6
2022-01-08,2,Beitou,7.0
2022-01-08,3,Qizhang,0.4
2022-01-08,5,Xindian District Office,2.6
2022-01-08,7,Taipei Main Station,7.2
2022-01-08,7,Wanlong,9.9
2022-01-08,7,Taipei Zoo,6.0
2022-01-08,8,Zhongxiao Fuxing,16.7
2022-01-08,8,Shilin,4.5
2022-01-08,8,Taipei Zoo,7.2
2022-01-08,9,Taipei Main Station,6.0
2022-01-08,9,Taipei City Hall,7.8
2022-01-08,9,Gongguan,5.1
2022-01-08,9,Nangang Exhibition Center,7.4
2022-01-08,10,Tamsui,6.6
2022-01-08,10,Taipei Zoo,1.5
2022-01-08,11,Yuanshan,8.7
2022-01-08,12,Yongning,5.4
2022-01-08,12,Nangang,9.8
2022-01-08,12,Muzha,1.8
2022-01-08,12,Beitou,5.9
2022-01-08,12,Xiaobitan,2.1
2022-01-08,12,Yuanshan,15.7
2022-01-08,12,Daqiaotou,9.4
2022-01-08,12,Jingmei,27.2
2022-01-08,13,Muzha,7.0
2022-01-08,13,Tamsui,7.3
2022-01-08,13,Taipei Zoo,2.0
2022-01-08,14,Taipei Main Station,22.8
2022-01-08,14,Nanjing Fuxing,11.4
2022-01-08,14,Yongning,3.3
2022-01-08,14,Nangang,7.3
2022-01-08,14,Songshan Airport,10.2
2022-01-08,14,Beitou,11.2
2022-01-08,14,Xiaobitan,8.9
2022-01-08,14,Nangang Exhibition Center,18.1
2022-01-08,15,Taipei Main Station,11.5
2022-01-08,15,Ximen,22.9
2022-01-08,15,Guting,12.2
2022-01-08,15,Xindian District Office,3.5
2022-01-08,16,Nanjing Fuxing,14.3
2022-01-08,16,Daqiaotou,4.2
2022-01-08,16,Wanlong,1.0
2022-01-08,16,Xindian District Office,0.9
2022-01-08,16,Nangang Exhibition Center,6.2
2022-01-08,17,Yongning,4.8
2022-01-08,17,Muzha,5.1
2022-01-08,17,Zhishan,8.3
2022-01-08,17,Taipei Zoo,15.7
2022-01-08,18,Jiantan,4.5
2022-01-08,19,Taipei Main Station,6.9
2022-01-08,19,Banqiao,4.1
2022-01-08,19,Da'an,8.1
2022-01-08,20,Xindian District Office,3.9
2022-01-08,20,Nangang Exhibition Center,1.8
2022-01-08,21,Taipei Main Station,4.1
2022-01-08,21,Yongning,6.9
2022-01-08,21,Tamsui,1.5
2022-01-08,21,Qizhang,7.2
2022-01-08,22,Daqiaotou,5.6
2022-01-09,0,Beitou,0.8
2022-01-09,3,Muzha,1.8
2022-01-09,5,Jiantan,2.5
2022-01-09,6,Banqiao,4.7
2022-01-09,6,Gongguan,13.1
2022-01-09,7,Gongguan,5.5
2022-01-09,7,Yongning,5.3
2022-01-09,7,Beitou,3.8
2022-01-09,8,Jiantan,8.2
2022-01-09,8,Zhishan,12.6
2022-01-09,9,Taipei Main Station,3.0
2022-01-09,9,Ximen,8.3
2022-01-09,9,Banqiao,17.9
2022-01-09,9,Guting,3.3
2022-01-09,9,Nangang,12.6
2022-01-09,9,Songshan Airport,6.1
2022-01-09,9,Xindian,10.3
2022-01-09,9,Beitou,14.4
2022-01-09,10,Tamsui,1.2
2022-01-09,10,Nangang Exhibition Center,2.5
2022-01-09,11,Songshan Airport,7.4
2022-01-09,11,Xindian,4.4
2022-01-09,12,Zhongxiao Fuxing,3.9
2022-01-09,12,Ximen,9.1
2022-01-09,12,Gongguan,8.5
2022-01-09,12,Xindian,2.0
2022-01-09,12,Daqiaotou,8.0
2022-01-09,13,Taipei Main Station,1.7
2022-01-09,13,Dongmen,3.4
2022-01-09,13,Zhongshan,3.2
2022-01-09,13,Nangang,3.7
2022-01-09,13,Xindian,6.8
2022-01-09,13,Muzha,20.3
2022-01-09,13,Beitou,15.3
2022-01-09,13,Yuanshan,2.2
2022-01-09,13,Daqiaotou,10.2
2022-01-09,13,Xindian District Office,1.2
2022-01-09,14,Banqiao,5.1
2022-01-09,14,Jiantan,29.1
2022-01-09,14,Tamsui,5.7
2022-01-09,14,Daqiaotou,9.6
2022-01-09,14,Taipei Zoo,5.7
2022-01-09,15,Yongning,4.0
2022-01-09,15,Nangang,8.6
2022-01-09,15,Yuanshan,4.1
2022-01-09,15,Nangang Exhibition Center,11.9
2022-01-09,16,Zhongxiao Fuxing,14.6
2022-01-09,16,Banqiao,4.9
2022-01-09,16,Taipei City Hall,8.2
2022-01-09,16,Yongning,9.2
2022-01-09,16,Jiantan,9.6
2022-01-09,16,Beitou,5.3
2022-01-09,16,Wanlong,5.9
2022-01-09,16,Jingmei,5.6
2022-01-09,16,Nangang Exhibition Center,3.7
2022-01-09,16,Taipei Zoo,17.4
2022-01-09,17,Taipei Main Station,1.6
2022-01-09,17,Ximen,8.4
2022-01-09,17,Taipei City Hall,2.6
2022-01-09,17,Zhongshan,5.5
2022-01-09,17,Jiantan,6.3
2022-01-09,17,Muzha,9.5
2022-01-09,17,Yuanshan,2.6
2022-01-09,17,Wanlong,6.7
2022-01-09,17,Taipei Zoo,2.1
2022-01-09,18,Zhishan,7.1
2022-01-09,18,Wanlong,9.4
2022-01-09,18,Jingmei,7.9
2022-01-09,19,Ximen,4.4
2022-01-09,19,Banqiao,3.0
2022-01-09,19,Daqiaotou,8.1
2022-01-09,20,Guting,5.1
2022-01-09,20,Gongguan,1.4
2022-01-09,21,Ximen,3.7
2022-01-09,21,Beitou,9.0
2022-01-09,22,Dongmen,3.5
2022-01-09,22,Taipei Zoo,4.7
2022-01-09,23,Zhongxiao Fuxing,4.3
2022-01-09,23,Dongmen,13.8
2022-01-09,23,Da'an,1.7
2022-01-10,0,Xindian,5.7
2022-01-10,0,Yuanshan,1.2
2022-01-10,4,Songshan Airport,2.7
2022-01-10,4,Qizhang,4.5
2022-01-10,5,Zhongxiao Fuxing,2.1
2022-01-10,5,Dongmen,4.1
2022-01-10,5,Nangang,2.7
2022-01-10,6,Da'an,0.3
2022-01-10,6,Jiantan,2.6
2022-01-10,7,Shilin,10.6
2022-01-10,7,Nangang,5.6
2022-01-10,7,Xindian,4.1
2022-01-10,7,Xiaobitan,4.1
2022-01-10,7,Yuanshan,13.6
2022-01-10,7,Zhishan,5.9
2022-01-10,7,Qizhang,4.4
2022-01-10,8,Guting,7.4
2022-01-10,8,Zhongshan,10.2
2022-01-10,8,Yongning,13.9
2022-01-10,8,Xindian,20.0
2022-01-10,8,Qizhang,2.6
2022-01-10,8,Nangang Exhibition Center,7.1
2022-01-10,9,Zhongxiao Fuxing,5.1
2022-01-10,9,Guting,9.0
2022-01-10,9,Zhongshan,21.6
2022-01-10,9,Yongning,9.6
2022-01-10,9,Taipei Zoo,2.3
2022-01-10,10,Zhongxiao Fuxing,1.5
2022-01-10,10,Banqiao,9.5
2022-01-10,10,Guting,15.2
2022-01-10,10,Da'an,3.2
2022-01-10,10,Shilin,7.0
2022-01-10,10,Muzha,5.5
2022-01-10,10,Tamsui,3.3
2022-01-10,11,Da'an,4.3
2022-01-10,11,Xindian District Office,2.7
2022-01-10,12,Banqiao,5.1
2022-01-10,12,Xindian,5.3
2022-01-10,12,Muzha,1.1
2022-01-10,12,Xiaobitan,1.3
2022-01-10,12,Nangang Exhibition Center,6.0
2022-01-10,13,Banqiao,9.3
2022-01-10,13,Yongning,2.0
2022-01-10,13,Wanlong,1.9
2022-01-10,13,Xindian District Office,2.2
2022-01-10,14,Zhongshan,4.1
2022-01-10,14,Xindian,4.0
2022-01-10,14,Yuanshan,7.0
2022-01-10,14,Nangang Exhibition Center,1.8
2022-01-10,15,Zhongxiao Fuxing,4.8
2022-01-10,15,Zhongshan,7.5
2022-01-10,15,Daqiaotou,10.6
2022-01-10,15,Wanlong,8.4
2022-01-10,16,Zhongshan,4.7
2022-01-10,16,Jingmei,3.1
2022-01-10,17,Zhongxiao Fuxing,17.8
2022-01-10,17,Banqiao,2.6
2022-01-10,17,Nangang,6.1
2022-01-10,17,Zhishan,13.7
2022-01-10,17,Qizhang,15.8
2022-01-10,18,Ximen,3.7
2022-01-10,18,Banqiao,14.7
2022-01-10,18,Nanjing Fuxing,7.0
2022-01-10,18,Gongguan,13.8
2022-01-10,18,Jiantan,12.3
2022-01-10,18,Xindian,11.4
2022-01-10,18,Muzha,23.8
2022-01-10,18,Beitou,4.8
2022-01-10,18,Jingmei,3.1
2022-01-10,19,Songshan Airport,6.5
2022-01-10,19,Xindian District Office,8.3
2022-01-10,20,Taipei Main Station,7.8
2022-01-10,20,Dongmen,13.1
2022-01-10,20,Wanlong,10.8
2022-01-10,20,Jingmei,5.4
2022-01-10,21,Xindian,18.5
2022-01-10,21,Xiaobitan,2.3
2022-01-10,21,Wanlong,4.2
2022-01-10,22,Xiaobitan,2.0
2022-01-10,22,Yuanshan,4.1
2022-01-10,22,Nangang Exhibition Center,6.3
2022-01-11,0,Banqiao,1.0
