Date,Hour,Station,Entries,Exits
2022-01-01,3,Zhishan,1,3
2022-01-01,3,Daqiaotou,1,7
2022-01-01,3,Wanlong,4,3
2022-01-01,3,Jingmei,1,4
2022-01-01,3,Qizhang,5,0
2022-01-01,3,Xindian District Office,8,4
2022-01-01,3,Nangang Exhibition Center,4,8
2022-01-01,3,Taipei Zoo,1,1
2022-01-01,4,Taipei Main Station,50,51
2022-01-01,4,Zhongxiao Fuxing,38,24
2022-01-01,4,Ximen,37,35
2022-01-01,4,Banqiao,39,32
2022-01-01,4,Taipei City Hall,30,31
2022-01-01,4,Nanjing Fuxing,14,21
2022-01-01,4,Guting,15,16
2022-01-01,4,Dongmen,21,12
2022-01-01,4,Da'an,24,11
2022-01-01,4,Zhongshan,20,21
2022-01-01,4,Shilin,18,17
2022-01-01,4,Gongguan,13,13
2022-01-01,4,Yongning,19,10
2022-01-01,4,Nangang,16,14
2022-01-01,4,Songshan Airport,20,15
2022-01-01,4,Jiantan,14,11
2022-01-01,4,Xindian,12,13
2022-01-01,4,Muzha,9,9
2022-01-01,4,Beitou,7,5
2022-01-01,4,Tamsui,8,9
2022-01-01,4,Xiaobitan,7,3
2022-01-01,4,Yuanshan,8,4
2022-01-01,4,Zhishan,13,4
2022-01-01,4,Daqiaotou,6,5
2022-01-01,4,Wanlong,4,4
2022-01-01,4,Jingmei,8,10
2022-01-01,4,Qizhang,5,7
2022-01-01,4,Xindian District Office,7,5
2022-01-01,4,Nangang Exhibition Center,11,9
2022-01-01,4,Taipei Zoo,9,8
2022-01-01,5,Taipei Main Station,179,162
2022-01-01,5,Zhongxiao Fuxing,115,138
2022-01-01,5,Ximen,90,115
2022-01-01,5,Banqiao,106,84
2022-01-01,5,Taipei City Hall,83,89
2022-01-01,5,Nanjing Fuxing,85,78
2022-01-01,5,Guting,73,65
2022-01-01,5,Dongmen,61,54
2022-01-01,5,Da'an,58,42
2022-01-01,5,Zhongshan,58,63
2022-01-01,5,Shilin,53,66
2022-01-01,5,Gongguan,46,26
2022-01-01,5,Yongning,43,38
2022-01-01,5,Nangang,41,37
2022-01-01,5,Songshan Airport,48,34
2022-01-01,5,Jiantan,32,29
2022-01-01,5,Xindian,47,48
2022-01-01,5,Muzha,32,33
2022-01-01,5,Beitou,27,31
2022-01-01,5,Tamsui,30,26
2022-01-01,5,Xiaobitan,12,10
2022-01-01,5,Yuanshan,31,33
2022-01-01,5,Zhishan,21,24
2022-01-01,5,Daqiaotou,24,16
2022-01-01,5,Wanlong,27,26
2022-01-01,5,Jingmei,27,22
2022-01-01,5,Qizhang,17,19
2022-01-01,5,Xindian District Office,17,28
2022-01-01,5,Nangang Exhibition Center,29,26
2022-01-01,5,Taipei Zoo,16,17
2022-01-01,6,Taipei Main Station,707,630
2022-01-01,6,Zhongxiao Fuxing,477,470
2022-01-01,6,Ximen,430,420
2022-01-01,6,Banqiao,405,378
2022-01-01,6,Taipei City Hall,397,348
2022-01-01,6,Nanjing Fuxing,276,280
2022-01-01,6,Guting,291,248
2022-01-01,6,Dongmen,252,224
2022-01-01,6,Da'an,245,243
2022-01-01,6,Zhongshan,220,228
2022-01-01,6,Shilin,207,182
2022-01-01,6,Gongguan,212,206
2022-01-01,6,Yongning,194,203
2022-01-01,6,Nangang,172,181
2022-01-01,6,Songshan Airport,153,152
2022-01-01,6,Jiantan,160,187
2022-01-01,6,Xindian,174,152
2022-01-01,6,Muzha,114,113
2022-01-01,6,Beitou,107,120
2022-01-01,6,Tamsui,143,138
2022-01-01,6,Xiaobitan,61,48
2022-01-01,6,Yuanshan,95,103
2022-01-01,6,Zhishan,74,74
2022-01-01,6,Daqiaotou,80,73
2022-01-01,6,Wanlong,101,84
2022-01-01,6,Jingmei,81,93
2022-01-01,6,Qizhang,78,70
2022-01-01,6,Xindian District Office,94,78
2022-01-01,6,Nangang Exhibition Center,154,125
2022-01-01,6,Taipei Zoo,67,76
2022-01-01,7,Taipei Main Station,1590,1600
2022-01-01,7,Zhongxiao Fuxing,1050,1086
2022-01-01,7,Ximen,937,884
2022-01-01,7,Banqiao,940,877
2022-01-01,7,Taipei City Hall,808,810
2022-01-01,7,Nanjing Fuxing,681,658
2022-01-01,7,Guting,691,650
2022-01-01,7,Dongmen,553,547
2022-01-01,7,Da'an,503,441
2022-01-01,7,Zhongshan,485,439
2022-01-01,7,Shilin,497,433
2022-01-01,7,Gongguan,482,429
2022-01-01,7,Yongning,438,399
2022-01-01,7,Nangang,403,383
2022-01-01,7,Songshan Airport,398,368
2022-01-01,7,Jiantan,364,334
2022-01-01,7,Xindian,376,297
2022-01-01,7,Muzha,299,256
2022-01-01,7,Beitou,267,239
2022-01-01,7,Tamsui,263,251
2022-01-01,7,Xiaobitan,128,137
2022-01-01,7,Yuanshan,227,218
2022-01-01,7,Zhishan,180,175
2022-01-01,7,Daqiaotou,198,207
2022-01-01,7,Wanlong,208,221
2022-01-01,7,Jingmei,248,207
2022-01-01,7,Qizhang,154,155
2022-01-01,7,Xindian District Office,169,168
2022-01-01,7,Nangang Exhibition Center,343,303
2022-01-01,7,Taipei Zoo,171,125
2022-01-01,8,Taipei Main Station,2819,2734
2022-01-01,8,Zhongxiao Fuxing,1889,1813
2022-01-01,8,Ximen,1730,1600
2022-01-01,8,Banqiao,1630,1486
2022-01-01,8,Taipei City Hall,1504,1342
2022-01-01,8,Nanjing Fuxing,1247,1141
2022-01-01,8,Guting,1195,1078
2022-01-01,8,Dongmen,1023,946
2022-01-01,8,Da'an,928,847
2022-01-01,8,Zhongshan,908,903
2022-01-01,8,Shilin,901,825
2022-01-01,8,Gongguan,791,714
2022-01-01,8,Yongning,733,664
2022-01-01,8,Nangang,713,652
2022-01-01,8,Songshan Airport,702,646
2022-01-01,8,Jiantan,596,554
2022-01-01,8,Xindian,610,620
2022-01-01,8,Muzha,504,495
2022-01-01,8,Beitou,435,435
2022-01-01,8,Tamsui,510,485
2022-01-01,8,Xiaobitan,214,226
2022-01-01,8,Yuanshan,381,366
2022-01-01,8,Zhishan,347,338
2022-01-01,8,Daqiaotou,375,332
2022-01-01,8,Wanlong,398,371
2022-01-01,8,Jingmei,385,373
2022-01-01,8,Qizhang,310,258
2022-01-01,8,Xindian District Office,327,331
2022-01-01,8,Nangang Exhibition Center,570,527
2022-01-01,8,Taipei Zoo,284,279
2022-01-01,9,Taipei Main Station,4328,4183
2022-01-01,9,Zhongxiao Fuxing,2908,2632
2022-01-01,9,Ximen,2513,2424
2022-01-01,9,Banqiao,2301,2302
2022-01-01,9,Taipei City Hall,2188,2083
2022-01-01,9,Nanjing Fuxing,1867,1747
2022-01-01,9,Guting,1673,1688
2022-01-01,9,Dongmen,1575,1500
2022-01-01,9,Da'an,1402,1193
2022-01-01,9,Zhongshan,1447,1257
2022-01-01,9,Shilin,1225,1267
2022-01-01,9,Gongguan,1189,1084
2022-01-01,9,Yongning,1066,1046
2022-01-01,9,Nangang,1027,970
2022-01-01,9,Songshan Airport,980,935
2022-01-01,9,Jiantan,927,876
2022-01-01,9,Xindian,915,863
2022-01-01,9,Muzha,774,737
2022-01-01,9,Beitou,691,619
2022-01-01,9,Tamsui,762,710
2022-01-01,9,Xiaobitan,358,303
2022-01-01,9,Yuanshan,597,537
2022-01-01,9,Zhishan,500,472
2022-01-01,9,Daqiaotou,476,486
2022-01-01,9,Wanlong,646,576
2022-01-01,9,Jingmei,602,599
2022-01-01,9,Qizhang,412,437
2022-01-01,9,Xindian District Office,519,455
2022-01-01,9,Nangang Exhibition Center,845,811
2022-01-01,9,Taipei Zoo,400,393
2022-01-01,10,Taipei Main Station,5195,5037
2022-01-01,10,Zhongxiao Fuxing,3509,3247
2022-01-01,10,Ximen,2996,2853
2022-01-01,10,Banqiao,2863,2789
2022-01-01,10,Taipei City Hall,2663,2400
2022-01-01,10,Nanjing Fuxing,2245,2067
2022-01-01,10,Guting,2116,2023
2022-01-01,10,Dongmen,1912,1738
2022-01-01,10,Da'an,1623,1610
2022-01-01,10,Zhongshan,1634,1503
2022-01-01,10,Shilin,1541,1421
2022-01-01,10,Gongguan,1422,1427
2022-01-01,10,Yongning,1326,1248
2022-01-01,10,Nangang,1376,1325
2022-01-01,10,Songshan Airport,1235,1112
2022-01-01,10,Jiantan,1164,1098
2022-01-01,10,Xindian,1106,1062
2022-01-01,10,Muzha,882,948
2022-01-01,10,Beitou,841,723
2022-01-01,10,Tamsui,933,868
2022-01-01,10,Xiaobitan,372,372
2022-01-01,10,Yuanshan,699,700
2022-01-01,10,Zhishan,582,624
2022-01-01,10,Daqiaotou,653,556
2022-01-01,10,Wanlong,705,666
2022-01-01,10,Jingmei,736,665
2022-01-01,10,Qizhang,487,486
2022-01-01,10,Xindian District Office,649,558
2022-01-01,10,Nangang Exhibition Center,1083,935
2022-01-01,10,Taipei Zoo,482,467
2022-01-01,11,Taipei Main Station,5489,4961
2022-01-01,11,Zhongxiao Fuxing,3551,3567
2022-01-01,11,Ximen,3278,3181
2022-01-01,11,Banqiao,3023,2822
2022-01-01,11,Taipei City Hall,2866,2841
2022-01-01,11,Nanjing Fuxing,2427,2101
2022-01-01,11,Guting,2246,2111
2022-01-01,11,Dongmen,1967,1960
2022-01-01,11,Da'an,1810,1648
2022-01-01,11,Zhongshan,1765,1593
2022-01-01,11,Shilin,1603,1563
2022-01-01,11,Gongguan,1564,1484
2022-01-01,11,Yongning,1453,1316
2022-01-01,11,Nangang,1475,1226
2022-01-01,11,Songshan Airport,1259,1209
2022-01-01,11,Jiantan,1179,1163
2022-01-01,11,Xindian,1200,1166
2022-01-01,11,Muzha,987,971
2022-01-01,11,Beitou,910,859
2022-01-01,11,Tamsui,986,947
2022-01-01,11,Xiaobitan,449,454
2022-01-01,11,Yuanshan,749,666
2022-01-01,11,Zhishan,649,604
2022-01-01,11,Daqiaotou,656,637
2022-01-01,11,Wanlong,752,721
2022-01-01,11,Jingmei,758,752
2022-01-01,11,Qizhang,580,543
2022-01-01,11,Xindian District Office,626,641
2022-01-01,11,Nangang Exhibition Center,1137,990
2022-01-01,11,Taipei Zoo,521,512
2022-01-01,12,Taipei Main Station,5668,5298
2022-01-01,12,Zhongxiao Fuxing,3762,3768
2022-01-01,12,Ximen,3459,3139
2022-01-01,12,Banqiao,3221,3099
2022-01-01,12,Taipei City Hall,2869,2681
2022-01-01,12,Nanjing Fuxing,2621,2274
2022-01-01,12,Guting,2333,2059
2022-01-01,12,Dongmen,2047,1831
2022-01-01,12,Da'an,1857,1728
2022-01-01,12,Zhongshan,1785,1616
2022-01-01,12,Shilin,1704,1657
2022-01-01,12,Gongguan,1582,1521
2022-01-01,12,Yongning,1421,1459
2022-01-01,12,Nangang,1442,1378
2022-01-01,12,Songshan Airport,1315,1205
2022-01-01,12,Jiantan,1251,1101
2022-01-01,12,Xindian,1207,1202
2022-01-01,12,Muzha,1008,1015
2022-01-01,12,Beitou,956,799
2022-01-01,12,Tamsui,1073,916
2022-01-01,12,Xiaobitan,476,468
2022-01-01,12,Yuanshan,803,775
2022-01-01,12,Zhishan,695,643
2022-01-01,12,Daqiaotou,703,677
2022-01-01,12,Wanlong,794,782
2022-01-01,12,Jingmei,780,781
2022-01-01,12,Qizhang,568,502
2022-01-01,12,Xindian District Office,761,687
2022-01-01,12,Nangang Exhibition Center,1115,1038
2022-01-01,12,Taipei Zoo,570,576
2022-01-01,13,Taipei Main Station,5657,5362
2022-01-01,13,Zhongxiao Fuxing,3835,3693
2022-01-01,13,Ximen,3314,3184
2022-01-01,13,Banqiao,3237,3096
2022-01-01,13,Taipei City Hall,2930,2884
2022-01-01,13,Nanjing Fuxing,2492,2202
2022-01-01,13,Guting,2337,2036
2022-01-01,13,Dongmen,2050,1993
2022-01-01,13,Da'an,1827,1587
2022-01-01,13,Zhongshan,1801,1739
2022-01-01,13,Shilin,1710,1646
2022-01-01,13,Gongguan,1583,1492
2022-01-01,13,Yongning,1502,1335
2022-01-01,13,Nangang,1510,1335
2022-01-01,13,Songshan Airport,1317,1260
2022-01-01,13,Jiantan,1224,1151
2022-01-01,13,Xindian,1218,1220
2022-01-01,13,Muzha,996,1031
2022-01-01,13,Beitou,974,855
2022-01-01,13,Tamsui,1062,1032
2022-01-01,13,Xiaobitan,475,423
2022-01-01,13,Yuanshan,785,783
2022-01-01,13,Zhishan,694,584
2022-01-01,13,Daqiaotou,671,625
2022-01-01,13,Wanlong,811,715
2022-01-01,13,Jingmei,834,700
2022-01-01,13,Qizhang,541,549
2022-01-01,13,Xindian District Office,660,598
2022-01-01,13,Nangang Exhibition Center,1175,1037
2022-01-01,13,Taipei Zoo,567,532
2022-01-01,14,Taipei Main Station,5482,5278
2022-01-01,14,Zhongxiao Fuxing,3794,3421
2022-01-01,14,Ximen,3244,3231
2022-01-01,14,Banqiao,3068,2837
2022-01-01,14,Taipei City Hall,2883,2738
2022-01-01,14,Nanjing Fuxing,2437,2288
2022-01-01,14,Guting,2178,2028
2022-01-01,14,Dongmen,2016,1910
2022-01-01,14,Da'an,1749,1645
2022-01-01,14,Zhongshan,1718,1712
2022-01-01,14,Shilin,1613,1518
2022-01-01,14,Gongguan,1569,1428
2022-01-01,14,Yongning,1414,1364
2022-01-01,14,Nangang,1466,1294
2022-01-01,14,Songshan Airport,1334,1254
2022-01-01,14,Jiantan,1234,1122
2022-01-01,14,Xindian,1199,1112
2022-01-01,14,Muzha,971,880
2022-01-01,14,Beitou,871,817
2022-01-01,14,Tamsui,980,956
2022-01-01,14,Xiaobitan,478,411
2022-01-01,14,Yuanshan,778,668
2022-01-01,14,Zhishan,623,608
2022-01-01,14,Daqiaotou,641,655
2022-01-01,14,Wanlong,771,711
2022-01-01,14,Jingmei,737,750
2022-01-01,14,Qizhang,552,508
2022-01-01,14,Xindian District Office,662,547
2022-01-01,14,Nangang Exhibition Center,1050,940
2022-01-01,14,Taipei Zoo,557,501
2022-01-01,15,Taipei Main Station,5379,5010
2022-01-01,15,Zhongxiao Fuxing,3579,3308
2022-01-01,15,Ximen,3197,3002
2022-01-01,15,Banqiao,3000,2745
2022-01-01,15,Taipei City Hall,2819,2549
2022-01-01,15,Nanjing Fuxing,2300,2162
2022-01-01,15,Guting,2048,2064
2022-01-01,15,Dongmen,1924,1891
2022-01-01,15,Da'an,1629,1567
2022-01-01,15,Zhongshan,1675,1575
2022-01-01,15,Shilin,1626,1517
2022-01-01,15,Gongguan,1462,1358
2022-01-01,15,Yongning,1463,1293
2022-01-01,15,Nangang,1362,1274
2022-01-01,15,Songshan Airport,1264,1111
2022-01-01,15,Jiantan,1166,1136
2022-01-01,15,Xindian,1150,1104
2022-01-01,15,Muzha,934,926
2022-01-01,15,Beitou,859,825
2022-01-01,15,Tamsui,984,892
2022-01-01,15,Xiaobitan,409,409
2022-01-01,15,Yuanshan,753,741
2022-01-01,15,Zhishan,612,630
2022-01-01,15,Daqiaotou,629,575
2022-01-01,15,Wanlong,766,712
2022-01-01,15,Jingmei,741,695
2022-01-01,15,Qizhang,571,537
2022-01-01,15,Xindian District Office,673,608
2022-01-01,15,Nangang Exhibition Center,1077,997
2022-01-01,15,Taipei Zoo,539,452
2022-01-01,16,Taipei Main Station,5255,4705
2022-01-01,16,Zhongxiao Fuxing,3420,3075
2022-01-01,16,Ximen,3097,2891
2022-01-01,16,Banqiao,2793,2563
2022-01-01,16,Taipei City Hall,2579,2557
2022-01-01,16,Nanjing Fuxing,2284,2079
2022-01-01,16,Guting,2112,2052
2022-01-01,16,Dongmen,1934,1709
2022-01-01,16,Da'an,1642,1511
2022-01-01,16,Zhongshan,1559,1545
2022-01-01,16,Shilin,1567,1485
2022-01-01,16,Gongguan,1392,1330
2022-01-01,16,Yongning,1300,1326
2022-01-01,16,Nangang,1341,1181
2022-01-01,16,Songshan Airport,1248,1108
2022-01-01,16,Jiantan,1135,1081
2022-01-01,16,Xindian,1091,1051
2022-01-01,16,Muzha,975,922
2022-01-01,16,Beitou,874,803
2022-01-01,16,Tamsui,881,933
2022-01-01,16,Xiaobitan,402,419
2022-01-01,16,Yuanshan,743,631
2022-01-01,16,Zhishan,586,576
2022-01-01,16,Daqiaotou,606,585
2022-01-01,16,Wanlong,701,634
2022-01-01,16,Jingmei,701,718
2022-01-01,16,Qizhang,532,431
2022-01-01,16,Xindian District Office,585,587
2022-01-01,16,Nangang Exhibition Center,1044,986
2022-01-01,16,Taipei Zoo,523,458
2022-01-01,17,Taipei Main Station,4605,4579
2022-01-01,17,Zhongxiao Fuxing,3249,2764
2022-01-01,17,Ximen,2742,2585
2022-01-01,17,Banqiao,2582,2625
2022-01-01,17,Taipei City Hall,2364,2179
2022-01-01,17,Nanjing Fuxing,2005,1767
2022-01-01,17,Guting,1793,1751
2022-01-01,17,Dongmen,1658,1560
2022-01-01,17,Da'an,1509,1241
2022-01-01,17,Zhongshan,1506,1488
2022-01-01,17,Shilin,1271,1327
2022-01-01,17,Gongguan,1194,1247
2022-01-01,17,Yongning,1197,1191
2022-01-01,17,Nangang,1203,1160
2022-01-01,17,Songshan Airport,1122,1071
2022-01-01,17,Jiantan,996,945
2022-01-01,17,Xindian,1021,952
2022-01-01,17,Muzha,813,757
2022-01-01,17,Beitou,752,711
2022-01-01,17,Tamsui,792,785
2022-01-01,17,Xiaobitan,396,384
2022-01-01,17,Yuanshan,675,579
2022-01-01,17,Zhishan,553,538
2022-01-01,17,Daqiaotou,549,522
2022-01-01,17,Wanlong,628,629
2022-01-01,17,Jingmei,689,603
2022-01-01,17,Qizhang,440,422
2022-01-01,17,Xindian District Office,556,568
2022-01-01,17,Nangang Exhibition Center,916,861
2022-01-01,17,Taipei Zoo,434,442
2022-01-01,18,Taipei Main Station,4053,4117
2022-01-01,18,Zhongxiao Fuxing,2757,2537
2022-01-01,18,Ximen,2476,2367
2022-01-01,18,Banqiao,2280,2170
2022-01-01,18,Taipei City Hall,2142,1911
2022-01-01,18,Nanjing Fuxing,1864,1645
2022-01-01,18,Guting,1642,1531
2022-01-01,18,Dongmen,1471,1383
2022-01-01,18,Da'an,1305,1280
2022-01-01,18,Zhongshan,1251,1190
2022-01-01,18,Shilin,1222,1194
2022-01-01,18,Gongguan,1092,1029
2022-01-01,18,Yongning,1095,1042
2022-01-01,18,Nangang,984,1073
2022-01-01,18,Songshan Airport,975,928
2022-01-01,18,Jiantan,914,822
2022-01-01,18,Xindian,871,889
2022-01-01,18,Muzha,702,719
2022-01-01,18,Beitou,688,635
2022-01-01,18,Tamsui,771,717
2022-01-01,18,Xiaobitan,317,304
2022-01-01,18,Yuanshan,537,552
2022-01-01,18,Zhishan,517,466
2022-01-01,18,Daqiaotou,479,438
2022-01-01,18,Wanlong,555,540
2022-01-01,18,Jingmei,570,505
2022-01-01,18,Qizhang,414,358
2022-01-01,18,Xindian District Office,503,459
2022-01-01,18,Nangang Exhibition Center,859,835
2022-01-01,18,Taipei Zoo,432,381
2022-01-01,19,Taipei Main Station,3627,3520
2022-01-01,19,Zhongxiao Fuxing,2369,2253
2022-01-01,19,Ximen,2083,1997
2022-01-01,19,Banqiao,1968,1948
2022-01-01,19,Taipei City Hall,1824,1772
2022-01-01,19,Nanjing Fuxing,1534,1504
2022-01-01,19,Guting,1451,1329
2022-01-01,19,Dongmen,1256,1281
2022-01-01,19,Da'an,1111,992
2022-01-01,19,Zhongshan,1158,1157
2022-01-01,19,Shilin,1056,1035
2022-01-01,19,Gongguan,960,1011
2022-01-01,19,Yongning,907,833
2022-01-01,19,Nangang,931,819
2022-01-01,19,Songshan Airport,804,836
2022-01-01,19,Jiantan,801,749
2022-01-01,19,Xindian,762,701
2022-01-01,19,Muzha,672,601
2022-01-01,19,Beitou,572,534
2022-01-01,19,Tamsui,587,673
2022-01-01,19,Xiaobitan,275,266
2022-01-01,19,Yuanshan,492,459
2022-01-01,19,Zhishan,451,382
2022-01-01,19,Daqiaotou,450,398
2022-01-01,19,Wanlong,511,478
2022-01-01,19,Jingmei,539,498
2022-01-01,19,Qizhang,362,335
2022-01-01,19,Xindian District Office,449,409
2022-01-01,19,Nangang Exhibition Center,736,636
2022-01-01,19,Taipei Zoo,404,363
2022-01-01,20,Taipei Main Station,2830,2521
2022-01-01,20,Zhongxiao Fuxing,1916,1771
2022-01-01,20,Ximen,1674,1553
2022-01-01,20,Banqiao,1608,1543
2022-01-01,20,Taipei City Hall,1509,1402
2022-01-01,20,Nanjing Fuxing,1266,1181
2022-01-01,20,Guting,1148,999
2022-01-01,20,Dongmen,1102,948
2022-01-01,20,Da'an,928,851
2022-01-01,20,Zhongshan,882,861
2022-01-01,20,Shilin,844,845
2022-01-01,20,Gongguan,782,767
2022-01-01,20,Yongning,745,753
2022-01-01,20,Nangang,763,645
2022-01-01,20,Songshan Airport,696,627
2022-01-01,20,Jiantan,621,569
2022-01-01,20,Xindian,636,597
2022-01-01,20,Muzha,560,463
2022-01-01,20,Beitou,457,429
2022-01-01,20,Tamsui,518,480
2022-01-01,20,Xiaobitan,221,252
2022-01-01,20,Yuanshan,368,373
2022-01-01,20,Zhishan,352,281
2022-01-01,20,Daqiaotou,352,293
2022-01-01,20,Wanlong,466,369
2022-01-01,20,Jingmei,433,357
2022-01-01,20,Qizhang,263,264
2022-01-01,20,Xindian District Office,341,316
2022-01-01,20,Nangang Exhibition Center,609,517
2022-01-01,20,Taipei Zoo,274,248
2022-01-01,21,Taipei Main Station,1912,1856
2022-01-01,21,Zhongxiao Fuxing,1268,1316
2022-01-01,21,Ximen,1153,1040
2022-01-01,21,Banqiao,1112,1048
2022-01-01,21,Taipei City Hall,1051,939
2022-01-01,21,Nanjing Fuxing,860,815
2022-01-01,21,Guting,779,725
2022-01-01,21,Dongmen,671,716
2022-01-01,21,Da'an,605,628
2022-01-01,21,Zhongshan,670,611
2022-01-01,21,Shilin,589,534
2022-01-01,21,Gongguan,528,542
2022-01-01,21,Yongning,470,493
2022-01-01,21,Nangang,487,469
2022-01-01,21,Songshan Airport,456,411
2022-01-01,21,Jiantan,438,430
2022-01-01,21,Xindian,427,412
2022-01-01,21,Muzha,351,346
2022-01-01,21,Beitou,319,281
2022-01-01,21,Tamsui,325,330
2022-01-01,21,Xiaobitan,149,145
2022-01-01,21,Yuanshan,267,262
2022-01-01,21,Zhishan,231,221
2022-01-01,21,Daqiaotou,233,216
2022-01-01,21,Wanlong,259,256
2022-01-01,21,Jingmei,266,255
2022-01-01,21,Qizhang,226,182
2022-01-01,21,Xindian District Office,236,227
2022-01-01,21,Nangang Exhibition Center,411,383
2022-01-01,21,Taipei Zoo,190,176
2022-01-01,22,Taipei Main Station,1065,1028
2022-01-01,22,Zhongxiao Fuxing,756,666
2022-01-01,22,Ximen,648,610
2022-01-01,22,Banqiao,597,599
2022-01-01,22,Taipei City Hall,574,523
2022-01-01,22,Nanjing Fuxing,477,409
2022-01-01,22,Guting,439,392
2022-01-01,22,Dongmen,394,362
2022-01-01,22,Da'an,371,328
2022-01-01,22,Zhongshan,313,353
2022-01-01,22,Shilin,285,338
2022-01-01,22,Gongguan,268,261
2022-01-01,22,Yongning,279,232
2022-01-01,22,Nangang,265,277
2022-01-01,22,Songshan Airport,233,243
2022-01-01,22,Jiantan,217,217
2022-01-01,22,Xindian,219,227
2022-01-01,22,Muzha,171,174
2022-01-01,22,Beitou,180,181
2022-01-01,22,Tamsui,177,187
2022-01-01,22,Xiaobitan,84,72
