station_id,day_of_week,day_name,optimal_frequencies,peak_hours,off_peak_hours,total_trains_needed
17,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[0, 3, 4, 6, 7, 9, 10, 11, 14, 15, 16, 17, 18, 19, 22, 23]","[1, 2, 5, 8, 12, 13, 20, 21]",48
18,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[1, 11, 20, 21, 22, 23]","[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19]",48
19,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[1, 5, 7, 8, 13, 14, 15, 18, 19, 21, 22, 23]","[0, 2, 3, 4, 6, 9, 10, 11, 12, 16, 17, 20]",48
20,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[0, 2, 4, 7, 9, 11, 13, 16, 18, 19, 20, 21, 22]","[1, 3, 5, 6, 8, 10, 12, 14, 15, 17, 23]",48
21,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[1, 4, 7, 8, 13, 15, 16, 17, 20, 22]","[0, 2, 3, 5, 6, 9, 10, 11, 12, 14, 18, 19, 21, 23]",48
22,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[0, 3, 5, 10, 21, 23]","[1, 2, 4, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22]",48
23,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[0, 2, 7, 8, 11, 17, 18, 21]","[1, 3, 4, 5, 6, 9, 10, 12, 13, 14, 15, 16, 19, 20, 22, 23]",48
24,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[0, 4, 6, 7, 9, 13, 16, 18]","[1, 2, 3, 5, 8, 10, 11, 12, 14, 15, 17, 19, 20, 21, 22, 23]",48
25,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[4, 8, 9, 12, 13, 15, 17]","[0, 1, 2, 3, 5, 6, 7, 10, 11, 14, 16, 18, 19, 20, 21, 22, 23]",48
26,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[1, 2, 3, 4, 8, 10, 11, 13, 15, 17, 20, 21, 23]","[0, 5, 6, 7, 9, 12, 14, 16, 18, 19, 22]",48
27,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 16, 19, 22]","[0, 1, 9, 13, 14, 15, 17, 18, 20, 21, 23]",48
28,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[3, 5, 6, 10, 15, 17, 20]","[0, 1, 2, 4, 7, 8, 9, 11, 12, 13, 14, 16, 18, 19, 21, 22, 23]",48
29,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[2, 3, 6, 7, 8, 9, 11, 15, 18, 21]","[0, 1, 4, 5, 10, 12, 13, 14, 16, 17, 19, 20, 22, 23]",48
30,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[0, 1, 3, 5, 6, 9, 10, 13, 14, 16, 17, 18, 19]","[2, 4, 7, 8, 11, 12, 15, 20, 21, 22, 23]",48
31,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[1, 5, 6, 7, 13, 20, 21]","[0, 2, 3, 4, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 22, 23]",48
32,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[7, 12, 14, 18, 19, 20]","[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 13, 15, 16, 17, 21, 22, 23]",48
33,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[0, 4, 5, 7, 9, 11, 12, 14, 16, 22, 23]","[1, 2, 3, 6, 8, 10, 13, 15, 17, 18, 19, 20, 21]",48
34,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[1, 2, 6, 10, 11, 12, 14, 17, 18, 20, 21]","[0, 3, 4, 5, 7, 8, 9, 13, 15, 16, 19, 22, 23]",48
35,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[0, 2, 5, 7, 11, 12, 13, 15, 17, 18, 19, 20]","[1, 3, 4, 6, 8, 9, 10, 14, 16, 21, 22, 23]",48
36,0,Monday,"{0: np.float64(2.0), 1: np.float64(2.0), 2: np.float64(2.0), 3: np.float64(2.0), 4: np.float64(2.0), 5: np.float64(2.0), 6: np.float64(2.0), 7: np.float64(2.0), 8: np.float64(2.0), 9: np.float64(2.0), 10: np.float64(2.0), 11: np.float64(2.0), 12: np.float64(2.0), 13: np.float64(2.0), 14: np.float64(2.0), 15: np.float64(2.0), 16: np.float64(2.0), 17: np.float64(2.0), 18: np.float64(2.0), 19: np.float64(2.0), 20: np.float64(2.0), 21: np.float64(2.0), 22: np.float64(2.0), 23: np.float64(2.0)}","[0, 2, 4, 10, 14, 16, 17, 18, 19, 20]","[1, 3, 5, 6, 7, 8, 9, 11, 12, 13, 15, 21, 22, 23]",48
